"route","gsc_status","decision","indexable","sitemap","independent_value","evidence"
"/health/trust/about","INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/trust/advertising","INDEXED","KEEP_PUBLIC_NOINDEX","false","false","NO","77-route local crawl + individual SEO V2 certification"
"/health/trust/ai-disclosure","INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/trust/author","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/trust/contact","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","NO","77-route local crawl + individual SEO V2 certification"
"/health/trust/corrections-policy","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/trust/disclaimer","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","NO","77-route local crawl + individual SEO V2 certification"
"/health/trust/editorial-policy","INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/trust/medical-review-policy","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/trust/privacy","INDEXED","KEEP_PUBLIC_NOINDEX","false","false","NO","77-route local crawl + individual SEO V2 certification"
"/health/trust/sources-policy","INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/trust/terms","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","NO","77-route local crawl + individual SEO V2 certification"
