candidate_id,korean_name,domain,source,query,checked_at,dns_observation,rdap_or_registration_observation,website_observation,history_observation,status,confidence,limitation
BR-026,곁살핌,gyeotsalpim.com,Verisign RDAP plus DNS/HTTPS,gyeotsalpim.com,2026-08-23 KST,NO_A_RECORD_OR_LOOKUP_ERROR,HTTP_404_NO_RECORD_RETURNED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,ARCHIVE_REQUEST_ERROR_INCOMPLETE,DOMAIN_APPEARS_AVAILABLE_UNCONFIRMED,MEDIUM,RDAP/DNS does not prove registration availability or clean history
BR-026,곁살핌,gyeotsalpim.kr,KRNIC/registrar human check,gyeotsalpim.kr,2026-08-23 KST,NOT_AUTOMATICALLY_DETERMINED,NOT_QUERIED,NOT_QUERIED,NOT_QUERIED,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar search or registration action performed
BR-026,곁살핌,gyeotsalpim.co.kr,KRNIC/registrar human check,gyeotsalpim.co.kr,2026-08-23 KST,NOT_AUTOMATICALLY_DETERMINED,NOT_QUERIED,NOT_QUERIED,NOT_QUERIED,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar search or registration action performed
BR-042,살핌노트,salpimnote.com,Verisign RDAP plus DNS/HTTPS,salpimnote.com,2026-08-23 KST,NO_A_RECORD_OR_LOOKUP_ERROR,HTTP_404_NO_RECORD_RETURNED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,NO_ARCHIVE_CAPTURE_RETURNED,DOMAIN_APPEARS_AVAILABLE_UNCONFIRMED,MEDIUM,RDAP/DNS/archive absence does not prove availability or clean history
BR-042,살핌노트,salpimnote.kr,KRNIC/registrar human check,salpimnote.kr,2026-08-23 KST,NOT_AUTOMATICALLY_DETERMINED,NOT_QUERIED,NOT_QUERIED,NOT_QUERIED,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar search or registration action performed
BR-042,살핌노트,salpimnote.co.kr,KRNIC/registrar human check,salpimnote.co.kr,2026-08-23 KST,NOT_AUTOMATICALLY_DETERMINED,NOT_QUERIED,NOT_QUERIED,NOT_QUERIED,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar search or registration action performed
BR-006,몸안내,momannae.com,Verisign RDAP plus DNS/HTTPS,momannae.com,2026-08-23 KST,NO_A_RECORD_OR_LOOKUP_ERROR,HTTP_404_NO_RECORD_RETURNED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,NO_ARCHIVE_CAPTURE_RETURNED,DOMAIN_APPEARS_AVAILABLE_UNCONFIRMED,MEDIUM,RDAP/DNS/archive absence does not prove availability or clean history
BR-006,몸안내,momannae.kr,KRNIC/registrar human check,momannae.kr,2026-08-23 KST,NOT_AUTOMATICALLY_DETERMINED,NOT_QUERIED,NOT_QUERIED,NOT_QUERIED,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar search or registration action performed
BR-006,몸안내,momannae.co.kr,KRNIC/registrar human check,momannae.co.kr,2026-08-23 KST,NOT_AUTOMATICALLY_DETERMINED,NOT_QUERIED,NOT_QUERIED,NOT_QUERIED,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar search or registration action performed
BR-023,곁건강,gyeotgeongang.com,Verisign RDAP plus DNS/HTTPS,gyeotgeongang.com,2026-08-23 KST,NO_A_RECORD_OR_LOOKUP_ERROR,HTTP_404_NO_RECORD_RETURNED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,NOT_REVIEWED,DOMAIN_APPEARS_AVAILABLE_UNCONFIRMED,MEDIUM,RDAP/DNS does not prove registration availability or clean history
BR-023,곁건강,gyeotgeongang.kr,KRNIC/registrar human check,gyeotgeongang.kr,2026-08-23 KST,NOT_AUTOMATICALLY_DETERMINED,NOT_QUERIED,NOT_QUERIED,NOT_QUERIED,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar search or registration action performed
BR-023,곁건강,gyeotgeongang.co.kr,KRNIC/registrar human check,gyeotgeongang.co.kr,2026-08-23 KST,NOT_AUTOMATICALLY_DETERMINED,NOT_QUERIED,NOT_QUERIED,NOT_QUERIED,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar search or registration action performed
BR-031,살핌길,salpimgil.com,Verisign RDAP plus DNS/HTTPS,salpimgil.com,2026-08-23 KST,NO_A_RECORD_OR_LOOKUP_ERROR,HTTP_404_NO_RECORD_RETURNED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,NOT_REVIEWED,DOMAIN_APPEARS_AVAILABLE_UNCONFIRMED,MEDIUM,RDAP/DNS does not prove registration availability or clean history
BR-031,살핌길,salpimgil.kr,KRNIC/registrar human check,salpimgil.kr,2026-08-23 KST,NOT_AUTOMATICALLY_DETERMINED,NOT_QUERIED,NOT_QUERIED,NOT_QUERIED,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar search or registration action performed
BR-031,살핌길,salpimgil.co.kr,KRNIC/registrar human check,salpimgil.co.kr,2026-08-23 KST,NOT_AUTOMATICALLY_DETERMINED,NOT_QUERIED,NOT_QUERIED,NOT_QUERIED,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar search or registration action performed
