claim_id,guide_slug,risk_class,decision,public_wording,source_ids,source_urls,last_verified,rationale,licensed_medical_review_completed
HTN-B1-004,hypertension,P1_CLINICAL,KEEP_AS_SAFE_GENERAL_EDUCATION,혈압은 활동과 측정 조건에 따라 달라질 수 있으므로 한 번의 측정값만으로 스스로 진단하지 않습니다.,SRC-CDC-HTN|SRC-AHA-HOME-BP,https://www.cdc.gov/high-blood-pressure/about/|https://www.heart.org/en/health-topics/high-blood-pressure/understanding-blood-pressure-readings/monitoring-your-blood-pressure-at-home,2026-08-26,공식 출처의 일반 건강교육 범위이며 개인 진단·치료 결정을 포함하지 않음,false
HTN-B1-006,hypertension,P1_CLINICAL,KEEP_AS_SAFE_GENERAL_EDUCATION,"가정 혈압을 재기 전에는 흡연·카페인 음료·운동을 30분 동안 피하고, 방광을 비운 뒤 조용히 5분 정도 쉽니다.",SRC-AHA-HOME-BP,https://www.heart.org/en/health-topics/high-blood-pressure/understanding-blood-pressure-readings/monitoring-your-blood-pressure-at-home,2026-08-26,공식 출처의 일반 건강교육 범위이며 개인 진단·치료 결정을 포함하지 않음,false
HTN-B1-007,hypertension,P1_CLINICAL,KEEP_AS_SAFE_GENERAL_EDUCATION,"등을 받치고 두 발을 바닥에 둔 채, 맨팔의 커프와 팔을 심장 높이에서 받치고 말하지 않으며 측정합니다.",SRC-AHA-HOME-BP,https://www.heart.org/en/health-topics/high-blood-pressure/understanding-blood-pressure-readings/monitoring-your-blood-pressure-at-home,2026-08-26,공식 출처의 일반 건강교육 범위이며 개인 진단·치료 결정을 포함하지 않음,false
HTN-B1-008,hypertension,P1_CLINICAL,KEEP_AS_SAFE_GENERAL_EDUCATION,"한 번 측정할 때 1분 간격으로 두 번 재고, 날짜·시간·값과 당시 증상을 있는 그대로 기록하면 진료 대화에 도움이 됩니다.",SRC-AHA-HOME-BP,https://www.heart.org/en/health-topics/high-blood-pressure/understanding-blood-pressure-readings/monitoring-your-blood-pressure-at-home,2026-08-26,공식 출처의 일반 건강교육 범위이며 개인 진단·치료 결정을 포함하지 않음,false
HTN-B1-009,hypertension,P1_CLINICAL,SIMPLIFY,"고혈압 관리는 식사, 신체 활동, 금연, 체중과 스트레스 관리, 그리고 개인에게 처방된 약물 치료를 함께 고려할 수 있습니다.",SRC-KDCA-HTN|SRC-CDC-HTN,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoView.do?cntnts_sn=6765|https://www.cdc.gov/high-blood-pressure/about/,2026-08-26,현재 공개 문장을 일반 교육·자가판단 금지·도움 요청 경계로 제한하고 치료 선택·용량·진단 확정을 배제함,false
HTN-B1-010,hypertension,P1_CLINICAL,SIMPLIFY,증상이 없거나 측정값이 좋아졌다는 이유로 처방약의 용량을 바꾸거나 중단하지 말고 처방 의료진과 상의합니다.,SRC-KDCA-HTN|SRC-CDC-HTN,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoView.do?cntnts_sn=6765|https://www.cdc.gov/high-blood-pressure/about/,2026-08-26,현재 공개 문장을 일반 교육·자가판단 금지·도움 요청 경계로 제한하고 치료 선택·용량·진단 확정을 배제함,false
HTN-B1-011,hypertension,P0_EMERGENCY,SIMPLIFY,"새로 생긴 심한 가슴 통증이나 압박감, 심한 호흡곤란, 식은땀 또는 의식 저하가 있으면 측정을 반복하며 기다리지 말고 119에 도움을 요청합니다.",SRC-KDCA-MI,https://health.kdca.go.kr/healthinfo/biz/health/ccvdInfo/cvcdInfo/miInfoMain.do,2026-08-26,현재 공개 문장을 일반 교육·자가판단 금지·도움 요청 경계로 제한하고 치료 선택·용량·진단 확정을 배제함,false
HTN-B1-012,hypertension,P0_EMERGENCY,SIMPLIFY,"얼굴이나 한쪽 팔다리의 갑작스러운 힘 빠짐, 말이 어눌해지거나 이해하기 어려운 변화가 생기면 즉시 119에 도움을 요청합니다.",SRC-KDCA-STROKE,https://health.kdca.go.kr/healthinfo/biz/health/ccvdInfo/ccvcdInfo/cbvcacdInfoMain.do,2026-08-26,현재 공개 문장을 일반 교육·자가판단 금지·도움 요청 경계로 제한하고 치료 선택·용량·진단 확정을 배제함,false
HTN-B1-013,hypertension,P1_CLINICAL,KEEP_AS_SAFE_GENERAL_EDUCATION,"가족은 측정 환경과 기록을 함께 준비하고, 갑작스러운 응급 신호가 나타나면 기록 정리보다 도움 요청을 우선할 수 있습니다.",SRC-AHA-HOME-BP|SRC-KDCA-MI|SRC-KDCA-STROKE,https://www.heart.org/en/health-topics/high-blood-pressure/understanding-blood-pressure-readings/monitoring-your-blood-pressure-at-home|https://health.kdca.go.kr/healthinfo/biz/health/ccvdInfo/cvcdInfo/miInfoMain.do|https://health.kdca.go.kr/healthinfo/biz/health/ccvdInfo/ccvcdInfo/cbvcacdInfoMain.do,2026-08-26,공식 출처의 일반 건강교육 범위이며 개인 진단·치료 결정을 포함하지 않음,false
DIA-B1-003,type-2-diabetes,P1_CLINICAL,KEEP_AS_SAFE_GENERAL_EDUCATION,"갈증과 잦은 소변, 피로, 흐린 시야, 손발 저림, 잘 낫지 않는 상처 같은 증상이 나타날 수 있습니다.",SRC-KDCA-DIA|SRC-NIDDK-T2D,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoView.do?cntnts_sn=5305|https://www.niddk.nih.gov/health-information/diabetes/overview/what-is-diabetes/type-2-diabetes,2026-08-26,공식 출처의 일반 건강교육 범위이며 개인 진단·치료 결정을 포함하지 않음,false
DIA-B1-005,type-2-diabetes,P1_CLINICAL,KEEP_AS_SAFE_GENERAL_EDUCATION,"가족력, 나이, 신체 활동, 과체중·비만, 고혈압, 당뇨병 전단계나 임신성 당뇨병 병력 등 여러 요인이 제2형 당뇨병 위험과 관련될 수 있습니다.",SRC-NIDDK-T2D,https://www.niddk.nih.gov/health-information/diabetes/overview/what-is-diabetes/type-2-diabetes,2026-08-26,공식 출처의 일반 건강교육 범위이며 개인 진단·치료 결정을 포함하지 않음,false
DIA-B1-006,type-2-diabetes,P1_CLINICAL,SIMPLIFY,"당뇨병 진단은 의료기관의 혈액검사와 상황에 맞는 확인 절차로 이루어지며, 증상 하나나 가정 측정 한 번으로 스스로 진단하지 않습니다.",SRC-NIDDK-TESTS|SRC-NIDDK-A1C,https://www.niddk.nih.gov/health-information/diabetes/overview/tests-diagnosis|https://www.niddk.nih.gov/health-information/diagnostic-tests/a1c-test,2026-08-26,현재 공개 문장을 일반 교육·자가판단 금지·도움 요청 경계로 제한하고 치료 선택·용량·진단 확정을 배제함,false
