"route","gsc_status","decision","indexable","sitemap","independent_value","evidence"
"/health/tools/acute-myocardial-infarction-visit-card","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","NO","77-route local crawl + individual SEO V2 certification"
"/health/tools/allergy-appointment-questions","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/tools/allergy-environment-check","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","NO","77-route local crawl + individual SEO V2 certification"
"/health/tools/allergy-trigger-observation","CRAWLED_NOT_INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/tools/anxiety-disorder-visit-card","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","NO","77-route local crawl + individual SEO V2 certification"
"/health/tools/asthma-visit-card","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/tools/blood-pressure-log","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/tools/blood-pressure-prep","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/tools/blood-pressure-questions","INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/tools/blood-pressure-warning","INDEXED","KEEP_PUBLIC_NOINDEX","false","false","NO","77-route local crawl + individual SEO V2 certification"
"/health/tools/depression-visit-card","INDEXED","KEEP_PUBLIC_NOINDEX","false","false","NO","77-route local crawl + individual SEO V2 certification"
"/health/tools/diabetes-questions","INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/tools/diabetes-test-terms","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","NO","77-route local crawl + individual SEO V2 certification"
"/health/tools/dyslipidemia-visit-card","CRAWLED_NOT_INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/tools/family-support-checklist","INDEXED","KEEP_PUBLIC_NOINDEX","false","false","NO","77-route local crawl + individual SEO V2 certification"
"/health/tools/gerd-appointment-prep","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/tools/gerd-everyday-patterns","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","NO","77-route local crawl + individual SEO V2 certification"
"/health/tools/gerd-symptom-timing-log","INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/tools/glucose-observation-log","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/tools/gout-visit-card","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/tools/irritable-bowel-syndrome-visit-card","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/tools/kidney-stones-visit-card","INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/tools/metabolic-dysfunction-associated-steatotic-liver-disease-visit-card","CRAWLED_NOT_INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/tools/migraine-visit-card","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/tools/oa-daily-activity-log","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/tools/oa-family-support","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","NO","77-route local crawl + individual SEO V2 certification"
"/health/tools/oa-visit-questions","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/tools/obesity-visit-card","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","NO","77-route local crawl + individual SEO V2 certification"
"/health/tools/osteoporosis-appointment-prep","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/tools/osteoporosis-home-check","INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/tools/osteoporosis-terms","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","NO","77-route local crawl + individual SEO V2 certification"
"/health/tools/sleep-apnea-visit-card","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","YES","77-route local crawl + individual SEO V2 certification"
"/health/tools/stroke-visit-card","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","NO","77-route local crawl + individual SEO V2 certification"
"/health/tools/urinary-tract-infection-visit-card","INDEXED","KEEP_PUBLIC_NOINDEX","false","false","NO","77-route local crawl + individual SEO V2 certification"
