"route","page_type","current_gsc_status","decision","indexable","sitemap","basis"
"/","home","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health","hub","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/acute-myocardial-infarction","disease","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/allergic-rhinitis","disease","CRAWLED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/anxiety-disorder","disease","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/asthma","disease","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/depression","disease","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/dyslipidemia","disease","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/gastroesophageal-reflux-disease","disease","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/gout","disease","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/guides/appointment-questions","support","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/guides/danger-signals","support","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/guides/family-medication-support","support","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/guides/measuring-blood-pressure","support","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/guides/medication-list","support","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/guides/older-parent-health-organizer","support","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/guides/reading-health-results","support","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/guides/symptom-journal","support","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/guides/understanding-hba1c","support","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/hypertension","disease","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/irritable-bowel-syndrome","disease","CRAWLED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/kidney-stones","disease","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","disease","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/migraine","disease","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/obesity","disease","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/osteoarthritis","disease","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/osteoporosis","disease","INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/sleep-apnea","disease","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/stroke","disease","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/tools/acute-myocardial-infarction-visit-card","tool","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","공개 유틸리티/정책 유지, 검색 결과 독립 가치 제한"
"/health/tools/allergy-appointment-questions","tool","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/tools/allergy-environment-check","tool","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","공개 유틸리티/정책 유지, 검색 결과 독립 가치 제한"
"/health/tools/allergy-trigger-observation","tool","CRAWLED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
"/health/tools/anxiety-disorder-visit-card","tool","DISCOVERED_NOT_INDEXED","KEEP_PUBLIC_NOINDEX","false","false","공개 유틸리티/정책 유지, 검색 결과 독립 가치 제한"
"/health/tools/asthma-visit-card","tool","DISCOVERED_NOT_INDEXED","KEEP_INDEXABLE","true","true","독립 검색 과제 또는 핵심 허브"
