"route","requested","requested_at","method","note"
"/","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/acute-myocardial-infarction","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/allergic-rhinitis","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/anxiety-disorder","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/asthma","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/depression","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/dyslipidemia","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/gastroesophageal-reflux-disease","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/gout","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/guides/appointment-questions","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/guides/danger-signals","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/guides/family-medication-support","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/guides/measuring-blood-pressure","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/guides/medication-list","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/guides/older-parent-health-organizer","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/guides/reading-health-results","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/guides/symptom-journal","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/guides/understanding-hba1c","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/hypertension","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/irritable-bowel-syndrome","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/kidney-stones","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/migraine","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/obesity","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/osteoarthritis","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/osteoporosis","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/sleep-apnea","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/stroke","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/tools/allergy-appointment-questions","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/tools/allergy-trigger-observation","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/tools/asthma-visit-card","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/tools/blood-pressure-log","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/tools/blood-pressure-prep","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/tools/blood-pressure-questions","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/tools/diabetes-questions","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/tools/dyslipidemia-visit-card","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/tools/gerd-appointment-prep","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/tools/gerd-symptom-timing-log","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/tools/glucose-observation-log","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/tools/gout-visit-card","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/tools/irritable-bowel-syndrome-visit-card","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/tools/kidney-stones-visit-card","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/tools/metabolic-dysfunction-associated-steatotic-liver-disease-visit-card","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/tools/migraine-visit-card","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/tools/oa-daily-activity-log","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/tools/oa-visit-questions","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/tools/osteoporosis-appointment-prep","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/tools/osteoporosis-home-check","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/tools/sleep-apnea-visit-card","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/trust/about","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/trust/ai-disclosure","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/trust/author","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/trust/corrections-policy","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/trust/editorial-policy","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/trust/medical-review-policy","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/trust/sources-policy","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/type-2-diabetes","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
"/health/urinary-tract-infection","NO","","NONE","No bulk or repeated indexing request; owner gate remains closed"
