candidate_id,korean_name,pronunciation,spelling_ease,recall,elementary_comprehension,adult_credibility,family_friendliness,emotional_calmness,no_fearbait,no_childishness,no_negative_homophone,no_medical_authority,ease_of_verbal_recommendation,mobile_typing,reader_test_status,desk_review_limitation
BR-003,몸의말,4,4,4,4,4,4,4,5,4,4,2,4,4,HUMAN_BRAND_READER_TEST_PENDING,증상 해석처럼 들리는지 사람 확인 필요
BR-005,몸살핌,3,3,3,3,4,4,4,5,4,2,3,3,3,HUMAN_BRAND_READER_TEST_PENDING,몸살로 분절되는지 사람 확인 필요
BR-006,몸안내,5,5,4,5,4,4,4,5,4,5,4,5,5,HUMAN_BRAND_READER_TEST_PENDING,일반명사라 기억·구별성 확인 필요
BR-007,몸읽기,4,4,4,4,4,4,4,5,4,5,2,4,4,HUMAN_BRAND_READER_TEST_PENDING,자가진단 연상 여부 확인 필요
BR-009,몸한눈,4,4,4,4,3,4,4,5,3,5,4,4,4,HUMAN_BRAND_READER_TEST_PENDING,성인 신뢰와 체형서비스 연상 확인 필요
BR-013,건강말,5,5,3,5,3,4,4,5,4,5,5,5,5,HUMAN_BRAND_READER_TEST_PENDING,일반성으로 인한 기억성 확인 필요
BR-016,건강첫걸음,5,5,4,5,4,4,4,5,4,5,5,5,5,HUMAN_BRAND_READER_TEST_PENDING,기존 캠페인과의 혼동 확인 필요
BR-017,건강한장면,4,4,3,4,4,4,4,5,4,5,5,4,4,HUMAN_BRAND_READER_TEST_PENDING,건강교육 정체성 이해 여부 확인 필요
BR-023,곁건강,4,4,4,4,4,5,5,5,4,5,4,4,4,HUMAN_BRAND_READER_TEST_PENDING,요양·돌봄기관 연상 확인 필요
BR-026,곁살핌,4,4,4,4,5,5,5,5,4,5,4,4,4,HUMAN_BRAND_READER_TEST_PENDING,건강서비스 정체성·기관 오인 확인 필요
BR-027,함께살핌,4,4,3,4,4,5,5,5,4,5,4,4,4,HUMAN_BRAND_READER_TEST_PENDING,공공 캠페인처럼 들리는지 확인 필요
BR-028,건강질문집,5,5,4,5,4,5,4,5,4,5,2,5,5,HUMAN_BRAND_READER_TEST_PENDING,개인 상담 서비스로 오인되는지 확인 필요
BR-029,가족기록,5,5,4,5,4,5,4,5,4,5,2,5,5,HUMAN_BRAND_READER_TEST_PENDING,의료기록 수집 서비스 오인 확인 필요
BR-031,살핌길,4,4,4,4,4,4,5,5,4,5,5,4,4,HUMAN_BRAND_READER_TEST_PENDING,발화·철자와 일반 단어 혼동 확인 필요
BR-034,차분건강,4,4,3,4,3,4,5,5,4,5,5,4,4,HUMAN_BRAND_READER_TEST_PENDING,자연스러운 합성어인지 확인 필요
BR-035,다음건강,4,4,4,4,4,4,4,5,4,5,3,4,4,HUMAN_BRAND_READER_TEST_PENDING,치료 다음 단계 약속처럼 들리는지 확인 필요
BR-036,몸의길,4,4,4,4,4,4,5,5,4,5,2,4,4,HUMAN_BRAND_READER_TEST_PENDING,치료·재활 경로 연상 확인 필요
BR-042,살핌노트,5,5,4,5,4,5,4,5,4,5,5,5,5,HUMAN_BRAND_READER_TEST_PENDING,문구·기록앱과의 구별 확인 필요
BR-046,질문노트,5,5,4,5,4,4,4,5,4,5,4,5,5,HUMAN_BRAND_READER_TEST_PENDING,건강 정체성이 충분한지 확인 필요
BR-051,살핌온,4,4,4,3,4,4,5,5,4,5,5,4,4,HUMAN_BRAND_READER_TEST_PENDING,의미·AI 생성어 느낌 확인 필요
