slug,topic,cluster,primary_intent,secondary_intents,critical_safety_intent,consolidation_rule
high-blood-pressure,고혈압,심장·혈관,"고혈압이 무엇이고 어떻게 확인하는가","증상;원인;혈압 재기;치료;생활관리","가슴통증·뇌졸중 신호는 별도 응급 행동","혈압 수치·음식·운동을 하나의 flagship과 측정 guide로 연결"
type-2-diabetes,2형 당뇨병,대사·내분비,"검진 혈당과 당뇨병을 쉽게 이해","증상;검사;치료;식사;운동;합병증","의식저하·심한 탈수·저혈당 위험","음식 키워드별 얇은 페이지 금지"
dyslipidemia,이상지질혈증,심장·혈관,"콜레스테롤 검사 결과 이해","LDL;HDL;중성지방;원인;약;식사","심한 흉통·뇌졸중 신호는 응급","수치별 페이지 대신 한 글과 glossary 사용"
obesity,비만,생활습관·대사,"비만을 질환·건강위험 관점에서 이해","BMI;허리둘레;식사;운동;약물;수술","극단적 감량·섭식장애·임신 주의","다이어트 상품·단기 감량 키워드 분리 금지"
fatty-liver-disease,대사이상 지방간질환,위장·간,"건강검진 지방간 결과 이해","원인;음주성과 차이;검사;식사;운동","황달·의식 변화·심한 복통은 진료","음식 목록보다 원인·검사·관리 통합"
gastroesophageal-reflux-disease,위식도역류질환,위장·간,"속쓰림과 역류를 이해","증상;원인;음식;수면;검사;치료","가슴통증·삼킴곤란·출혈 신호","음식별 금지 목록 페이지 양산 금지"
influenza,인플루엔자,호흡기·감염,"감기와 독감 차이 및 대처","증상;검사;치료;예방접종;고위험군","호흡곤란·의식저하·탈수","절기별 정보는 한 페이지를 의미 있게 갱신"
pneumonia,폐렴,호흡기·감염,"폐렴 증상과 진료 시점","원인;검사;치료;예방접종;노인","호흡곤란·청색증·혼돈","연령별 얇은 글 대신 대상별 section"
asthma,천식,호흡기·감염,"천식 증상과 꾸준한 관리","기침;쌕쌕거림;검사;흡입기;악화요인","말하기 힘든 호흡곤란·완화제 반응 없음","흡입기 사용은 검증된 별도 visual로 연결"
allergic-rhinitis,알레르기비염,피부·알레르기,"감기와 알레르기비염 구분","증상;원인;검사;환경관리;치료","호흡곤란·전신 알레르기 반응","계절·원인별 키워드는 본문 section으로 통합"
atopic-dermatitis,아토피피부염,피부·알레르기,"아토피 관리와 악화요인 이해","연령별 증상;보습;약;목욕;음식 오해","감염 의심·전신 반응·눈 주변 악화","민간요법·음식별 페이지 금지"
urinary-tract-infection,요로감염,비뇨기·신장,"방광염과 신우신염 구분","증상;검사;치료;재발;임신;노인","고열·옆구리통증·구토·임신","성별·연령은 대상별 section으로 통합"
osteoporosis,골다공증,뼈·관절·근육,"골다공증과 골절 위험 이해","골밀도;원인;치료;칼슘;비타민D;낙상","낙상 후 고관절·척추 골절 의심","영양제 상품형 페이지 금지"
osteoarthritis,골관절염,뼈·관절·근육,"관절 통증과 기능 관리","증상;검사;운동;체중;약;수술","붓고 뜨거운 관절·외상·보행 불가","무릎·손·고관절은 한 글에서 차이를 설명"
stroke,뇌졸중,뇌·마음,"뇌졸중 신호를 알아보고 즉시 행동","원인;검사;치료;재활;예방;가족","한쪽 마비·말 장애·얼굴 처짐은 즉시 119","FAST 의도는 응급 guide와 flagship으로만"
myocardial-infarction,심근경색,심장·혈관,"심근경색 신호와 119 행동","원인;검사;치료;회복;예방;가족","지속 흉통·식은땀·호흡곤란은 즉시 119","흉통 키워드는 응급 guide와 연결"
depression,우울장애,뇌·마음,"우울감과 우울장애를 이해하고 도움 찾기","증상;원인;치료;가족;직장;청소년·노인","자살·자해 생각은 109·112·119 등 즉시 도움","자가검사 점수로 진단하는 페이지 금지"
dementia,치매,뇌·마음,"치매 초기 변화와 가족의 다음 단계","유형;검사;치료;예방;돌봄;안전","갑작스런 혼돈·마비는 뇌졸중 등 응급 감별","치매 테스트·공포형 기억력 콘텐츠 금지"
migraine,편두통,뇌·마음,"편두통 특징과 두통 관리","조짐;원인;두통일기;치료;예방","갑작스런 최악의 두통·마비·의식저하","음식 유발요인 확정형 페이지 금지"
thyroid-function-disorders,갑상선 기능 이상,대사·내분비,"항진증과 저하증 차이 이해","증상;검사;원인;치료;임신;약 복용","심한 두근거림·의식저하·임신은 신속 상담","항진·저하를 pillar에서 비교하고 세부는 필요 시 분기"
