claim_id,article_slug,section,claim_type,primary_source,secondary_source,retrieved_at,clinical_review_required,clinical_review_status,wording_risk,publication_status
AR-B2-001,allergic-rhinitis,definition,DEFINITION,SRC-MEDLINEPLUS-AR,SRC-MEDLINEPLUS-HAY,2026-08-25,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
AR-B2-002,allergic-rhinitis,symptoms,SYMPTOM,SRC-MEDLINEPLUS-AR,SRC-MEDLINEPLUS-HAY,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,MEDIUM,PREVIEW_ONLY_PRODUCTION_BLOCKED
AR-B2-003,allergic-rhinitis,trigger,MEASUREMENT_GUIDANCE,SRC-MEDLINEPLUS-AR,SRC-CDC-POLLEN,2026-08-25,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
AR-B2-004,allergic-rhinitis,diagnosis-limit,SELF_CARE_LIMIT,SRC-MEDLINEPLUS-AR,,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
AR-B2-005,allergic-rhinitis,observation,MEASUREMENT_GUIDANCE,SRC-MEDLINEPLUS-AR,SRC-MEDLINEPLUS-HAY,2026-08-25,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
AR-B2-006,allergic-rhinitis,environment,SELF_CARE_LIMIT,SRC-CDC-POLLEN,SRC-MEDLINEPLUS-AR,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,MEDIUM,PREVIEW_ONLY_PRODUCTION_BLOCKED
AR-B2-007,allergic-rhinitis,medicine-limit,SELF_CARE_LIMIT,SRC-MEDLINEPLUS-AR,,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
AR-B2-008,allergic-rhinitis,professional-help,TREATMENT_OVERVIEW,SRC-MEDLINEPLUS-AR,SRC-MEDLINEPLUS-HAY,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,MEDIUM,PREVIEW_ONLY_PRODUCTION_BLOCKED
AR-B2-009,allergic-rhinitis,emergency,EMERGENCY_SIGN,SRC-CDC-POLLEN,SRC-KDCA-CPR,2026-08-25,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
AR-B2-010,allergic-rhinitis,family,CAREGIVER_ACTION,SRC-MEDLINEPLUS-AR,,2026-08-25,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
AR-B2-011,allergic-rhinitis,questions,MEASUREMENT_GUIDANCE,SRC-MEDLINEPLUS-AR,SRC-MEDLINEPLUS-HAY,2026-08-25,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
