candidate_id,korean_name,romanized,pronunciation,meaning,territory,proposed_tagline,intended_tone,potential_misunderstanding,medical_authority_risk,expansion_potential,stage1_status
BR-001,몸신호,momsinho,몸-신호,몸의 변화를 알아차림,A,몸의 신호를 쉬운 말로 이해하기,차분함,응급 알림 서비스,MEDIUM,HIGH,SCREENED_OUT
BR-002,몸알림,momalrim,몸-알림,몸의 변화를 알림,A,알아두고 필요한 도움 찾기,즉시성,의료 알림 또는 경보,MEDIUM,MEDIUM,SCREENED_OUT
BR-003,몸의말,momeui-mal,모메말,몸이 보내는 말,A,몸의 이야기를 쉬운 말로,따뜻함,증상 해석·진단,MEDIUM,HIGH,STAGE2
BR-004,몸결,momgyeol,몸-결,몸의 상태와 결,A,몸의 변화를 살피는 안내,감성적,동명 영업 사업자,LOW,HIGH,DISQUALIFIED_EXACT_USE_SIGNAL
BR-005,몸살핌,momsalpim,몸-살핌,몸을 살핌,A,몸의 변화를 차분히 이해하기,차분함,몸살로 잘못 끊어 읽음,MEDIUM,HIGH,STAGE2
BR-006,몸안내,momannae,몸-안내,몸에 관한 안내,A,쉬운 말로 보는 건강 정보,명료함,일반 안내 서비스,LOW,HIGH,STAGE2
BR-007,몸읽기,momilgki,몸-읽기,몸을 이해하기,A,몸의 정보를 함께 읽기,지적임,자가진단 연상,MEDIUM,HIGH,STAGE2
BR-008,몸지도,momjido,몸-지도,몸을 이해하는 지도,A,건강 정보를 찾아보는 지도,탐색적,해부학·진단 지도,MEDIUM,HIGH,SCREENED_OUT
BR-009,몸한눈,momhanun,몸-한눈,몸 정보를 한눈에,A,한눈에 이해하는 건강 정보,간결함,다이어트·체형 서비스,LOW,MEDIUM,STAGE2
BR-010,몸살피기,momsalpigi,몸-살피기,몸을 살피기,A,몸의 변화를 이해하고 준비하기,돌봄,자가검진 약속,MEDIUM,HIGH,SCREENED_OUT
BR-011,건강풀이,geongangpuli,건강-풀이,건강을 쉽게 풀이,B,어려운 건강말을 쉽게 풀기,친근함,사주·운세 결과 결합,MEDIUM,HIGH,DISQUALIFIED_SEARCH_ASSOCIATION
BR-012,쉬운건강,swiungeongang,쉬운-건강,쉬운 건강 설명,B,쉬운 말로 이해하는 건강 정보,직관적,지나치게 일반적,LOW,MEDIUM,SCREENED_OUT
BR-013,건강말,geongangmal,건강-말,건강에 관한 쉬운 말,B,건강을 쉬운 말로,따뜻함,일반 문구·검색 포화,LOW,HIGH,STAGE2
BR-014,알기건강,algigeongang,알기-건강,알아가는 건강,B,알아두고 준비하는 건강 안내,교육적,어순이 부자연스러움,LOW,MEDIUM,SCREENED_OUT
BR-015,건강한눈,geonganghannun,건강한-눈,건강을 보는 눈,B,한눈에 이해하는 건강 정보,신뢰감,눈 건강 전문 서비스,LOW,HIGH,SCREENED_OUT
BR-016,건강첫걸음,geongangcheotgeoreum,건강-첫걸음,건강 이해의 시작,B,처음부터 쉬운 건강 설명,친근함,지나치게 일반적,LOW,HIGH,STAGE2
BR-017,건강한장면,geonganghanjangmyeon,건강한-장면,건강을 이해하는 생활 장면,B,생활 속 건강을 쉬운 말로,따뜻함,문학·영상 브랜드,LOW,MEDIUM,STAGE2
BR-018,건강한차례,geonganghancharye,건강한-차례,건강 행동의 순서,B,알아두고 차근히 준비하기,차분함,의례·식사 연상,LOW,MEDIUM,SCREENED_OUT
BR-019,건강설명서,geongangseolmyeongseo,건강-설명서,건강 정보 설명서,B,복잡한 건강 정보를 쉽게,실용적,매우 일반적 출판명,LOW,HIGH,SCREENED_OUT
BR-020,건강한문장,geonganghanmunjang,건강한-문장,건강을 이해하는 문장,B,건강 정보를 바르게 읽기,편집적,글쓰기 서비스,LOW,MEDIUM,SCREENED_OUT
