claim_id,article_slug,section,claim_text,claim_type,primary_source,secondary_source,source_date,retrieved_at,source_checker,clinical_review_required,clinical_review_status,wording_risk,publication_status
HTN-B1-001,hypertension,definition,"혈압은 혈액이 동맥 벽을 밀 때 생기는 압력이며 고혈압은 혈압이 지속해서 정상보다 높은 상태를 말합니다.",DEFINITION,SRC-KDCA-HTN,SRC-CDC-HTN,2026-01-28,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
HTN-B1-002,hypertension,numbers,"위 숫자는 수축기 혈압 아래 숫자는 이완기 혈압을 나타냅니다.",MEASUREMENT_GUIDANCE,SRC-KDCA-HTN,SRC-CDC-HTN,2026-01-28,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
HTN-B1-003,hypertension,symptoms,"고혈압은 뚜렷한 경고 증상이 없는 경우가 많습니다.",SYMPTOM,SRC-KDCA-HTN,SRC-CDC-HTN,2026-01-28,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
HTN-B1-004,hypertension,diagnosis-limit,"한 번의 측정값만으로 스스로 진단하지 않습니다.",SELF_CARE_LIMIT,SRC-CDC-HTN,SRC-AHA-HOME-BP,2026,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,YES,LICENSED_REVIEW_REQUIRED,MEDIUM,PREVIEW_ONLY_PRODUCTION_BLOCKED
HTN-B1-005,hypertension,why-it-matters,"높은 혈압이 오래 이어지면 심장 뇌 콩팥 눈 등에 부담을 줄 수 있습니다.",RISK_FACTOR,SRC-KDCA-HTN,SRC-CDC-HTN,2026-01-28,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
HTN-B1-006,hypertension,measurement-prep,"측정 30분 전 흡연 카페인 운동을 피하고 방광을 비운 뒤 5분 쉽니다.",MEASUREMENT_GUIDANCE,SRC-AHA-HOME-BP,,2025,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,YES,LICENSED_REVIEW_REQUIRED,MEDIUM,PREVIEW_ONLY_PRODUCTION_BLOCKED
HTN-B1-007,hypertension,measurement-position,"등과 팔을 받치고 발을 바닥에 두며 맨팔 커프를 심장 높이에 둡니다.",MEASUREMENT_GUIDANCE,SRC-AHA-HOME-BP,,2025,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,YES,LICENSED_REVIEW_REQUIRED,MEDIUM,PREVIEW_ONLY_PRODUCTION_BLOCKED
HTN-B1-008,hypertension,measurement-record,"1분 간격으로 두 번 재고 날짜 시간 값과 증상을 기록합니다.",MEASUREMENT_GUIDANCE,SRC-AHA-HOME-BP,,2025,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,YES,LICENSED_REVIEW_REQUIRED,MEDIUM,PREVIEW_ONLY_PRODUCTION_BLOCKED
HTN-B1-009,hypertension,management,"고혈압 관리는 생활 요소와 개인에게 처방된 약물 치료를 함께 고려할 수 있습니다.",TREATMENT_OVERVIEW,SRC-KDCA-HTN,SRC-CDC-HTN,2026-01-28,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
HTN-B1-010,hypertension,medicine-limit,"처방약 용량을 바꾸거나 중단하지 말고 처방 의료진과 상의합니다.",SELF_CARE_LIMIT,SRC-KDCA-HTN,SRC-CDC-HTN,2026-01-28,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
HTN-B1-011,hypertension,emergency-heart,"심한 가슴 통증 호흡곤란 식은땀 의식 저하가 있으면 119에 도움을 요청합니다.",EMERGENCY_SIGN,SRC-KDCA-MI,,페이지_표시일_미확인,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
HTN-B1-012,hypertension,emergency-brain,"갑작스러운 한쪽 힘 빠짐이나 말 이상이 생기면 119에 도움을 요청합니다.",EMERGENCY_SIGN,SRC-KDCA-STROKE,,페이지_표시일_미확인,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
HTN-B1-013,hypertension,family,"가족은 측정과 기록을 돕고 응급 신호에서는 도움 요청을 우선할 수 있습니다.",CAREGIVER_ACTION,SRC-AHA-HOME-BP,SRC-KDCA-MI,2025,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,YES,LICENSED_REVIEW_REQUIRED,MEDIUM,PREVIEW_ONLY_PRODUCTION_BLOCKED
DIA-B1-001,type-2-diabetes,definition,"제2형 당뇨병은 몸이 인슐린을 충분히 만들지 못하거나 잘 사용하지 못해 혈당이 높은 상태가 이어지는 질환입니다.",DEFINITION,SRC-KDCA-DIA,SRC-NIDDK-T2D,페이지_표시일_미확인,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
DIA-B1-002,type-2-diabetes,analogy,"포도당은 연료 인슐린은 그 연료가 세포에서 쓰이도록 돕는 신호에 비유할 수 있습니다.",DEFINITION,SRC-NIDDK-T2D,,페이지_표시일_미확인,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
DIA-B1-003,type-2-diabetes,symptoms,"갈증 잦은 소변 피로 흐린 시야 손발 저림 잘 낫지 않는 상처 등이 나타날 수 있습니다.",SYMPTOM,SRC-KDCA-DIA,SRC-NIDDK-T2D,페이지_표시일_미확인,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,YES,LICENSED_REVIEW_REQUIRED,MEDIUM,PREVIEW_ONLY_PRODUCTION_BLOCKED
DIA-B1-004,type-2-diabetes,symptoms-limit,"증상은 천천히 생기거나 매우 약할 수 있고 아무 증상이 없는 사람도 있습니다.",SYMPTOM,SRC-NIDDK-T2D,,페이지_표시일_미확인,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,NO,NOT_MEDICALLY_REVIEWED,LOW,PREVIEW_ONLY_PRODUCTION_BLOCKED
DIA-B1-005,type-2-diabetes,risk,"가족력 나이 활동 과체중 고혈압 당뇨병 전단계 등이 위험과 관련될 수 있습니다.",RISK_FACTOR,SRC-NIDDK-T2D,,페이지_표시일_미확인,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,YES,LICENSED_REVIEW_REQUIRED,MEDIUM,PREVIEW_ONLY_PRODUCTION_BLOCKED
DIA-B1-006,type-2-diabetes,diagnosis-limit,"진단은 의료기관 혈액검사와 확인 절차로 이루어지며 가정 측정 한 번으로 스스로 진단하지 않습니다.",SELF_CARE_LIMIT,SRC-NIDDK-TESTS,SRC-NIDDK-A1C,페이지_표시일_미확인,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
DIA-B1-007,type-2-diabetes,fasting-glucose,"공복혈당은 보통 최소 8시간 금식한 뒤 한 시점의 혈당을 확인하는 혈액검사입니다.",TEST,SRC-NIDDK-TESTS,,페이지_표시일_미확인,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
DIA-B1-008,type-2-diabetes,a1c,"HbA1c는 대략 지난 3개월 평균 혈당 수준에 관한 정보를 주는 혈액검사입니다.",TEST,SRC-NIDDK-A1C,,페이지_표시일_미확인,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
DIA-B1-009,type-2-diabetes,test-limit,"검사 결과 의미와 재검 여부는 의료진이 다른 건강 상태와 함께 판단합니다.",SELF_CARE_LIMIT,SRC-NIDDK-A1C,SRC-NIDDK-TESTS,페이지_표시일_미확인,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
DIA-B1-010,type-2-diabetes,management,"관리는 식사 활동 수면 금연과 개인에게 처방된 약물 치료를 포함할 수 있습니다.",TREATMENT_OVERVIEW,SRC-NIDDK-T2D,SRC-NIDDK-LIVING,페이지_표시일_미확인,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
DIA-B1-011,type-2-diabetes,medicine-limit,"기록한 혈당값으로 처방약이나 인슐린 용량을 스스로 바꾸거나 중단하지 않습니다.",SELF_CARE_LIMIT,SRC-NIDDK-T2D,,페이지_표시일_미확인,2026-08-24,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
DIA-B1-012,type-2-diabetes,emergency,"반복 구토로 물도 마시기 어렵거나 호흡곤란·의식 변화 등 상태가 빠르게 나빠지면 가까운 응급의료기관이나 119에 도움을 요청합니다. 반응이 없거나 생명이 위급하면 즉시 119에 신고합니다.",EMERGENCY_SIGN,SRC-CDC-DKA,SRC-KDCA-CPR,2024-05-15,2026-08-25,CODEX_ASSISTED_OFFICIAL_SOURCE_CROSSCHECK_NOT_HUMAN,YES,LICENSED_REVIEW_REQUIRED,HIGH,PREVIEW_ONLY_PRODUCTION_BLOCKED
