"from","to","anchor","context"
"/","/","본문으로 건너뛰기","content"
"/","/","OONURIM오누림","navigation"
"/","/health","질환 알아보기","navigation"
"/","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/","/health/guides/reading-health-results","검사·건강수치","navigation"
"/","/health/guides/family-medication-support","가족 건강","navigation"
"/","/health","건강 도구","navigation"
"/","/health/trust/about","오누림 소개","navigation"
"/","/health/hypertension","고혈압 안내 보기","content"
"/","/health/allergic-rhinitis","알레르기 비염 안내 보기","content"
"/","/health/hypertension","심장·혈관고혈압, 숫자에 놀라기 전에 기록부터혈압 숫자, 안정된 측정, 7일 기록과 진료 질문안내 열기 →","content"
"/","/health/type-2-diabetes","대사·혈당제2형 당뇨병, 한 번의 숫자보다 흐름 보기혈당과 인슐린, 검사 용어, 관찰 기록과 가족 지원안내 열기 →","content"
"/","/health/allergic-rhinitis","호흡·알레르기알레르기 비염, 원인을 단정하기보다 흐름을 살펴요증상·환경 관찰, 진료 질문과 가족의 준비안내 열기 →","content"
"/","/health/gastroesophageal-reflux-disease","소화위식도역류질환, 음식 하나보다 시간과 변화를 기록해요속쓰림 흐름, 시간 기록과 위험 신호 질문안내 열기 →","content"
"/","/health/osteoarthritis","뼈·관절골관절염, 아픈 정도보다 생활의 변화를 함께 적어요관절의 일상 변화, 활동 기록과 진료 준비안내 열기 →","content"
"/","/health/osteoporosis","뼈·관절골다공증, 증상이 없을 때도 질문을 준비해요골밀도 질문, 낙상 환경 점검과 진료 준비안내 열기 →","content"
"/","/health/dyslipidemia","심장·혈관이상지질혈증겉으로 느껴지는 증상이 없어도 혈액검사에 나타날 수 있는 지질 수치를, 한 항목만 떼어 보지 않고 진료 질문으로 바꿉니다.안내 열기 →","content"
"/","/health/obesity","대사·내분비비만체중을 의지나 외모의 문제로 몰아가지 않고, 건강 상태와 생활 환경을 함께 살피는 질문을 준비합니다.안내 열기 →","content"
"/","/health/metabolic-dysfunction-associated-steatotic-liver-disease","위장·간지방간(MASLD)건강검진에서 지방간 이야기를 들었을 때, 증상이 없다는 말과 관리가 필요 없다는 말을 구분해 봅니다.안내 열기 →","content"
"/","/health/irritable-bowel-syndrome","위장·간과민성장증후군배 아픔과 배변 변화의 흐름을 살피되, 모든 복통을 과민성장증후군으로 부르지 않도록 경계를 세웁니다.안내 열기 →","content"
"/","/health/asthma","호흡기·알레르기천식기도가 예민해져 좁아질 때 나타날 수 있는 변화를 이해하고, 평소 증상과 응급 호흡곤란을 분리합니다.안내 열기 →","content"
"/","/health/sleep-apnea","호흡기·알레르기수면무호흡증함께 사는 사람이 먼저 알아채는 코골이와 숨 멎음, 낮 졸림의 단서를 비난 없이 진료 정보로 바꿉니다.안내 열기 →","content"
"/","/health/gout","뼈·관절통풍통풍을 음식 하나의 벌처럼 설명하지 않고, 갑작스러운 관절 변화와 요산 검사의 한계를 함께 봅니다.안내 열기 →","content"
"/","/health/migraine","뇌·마음편두통편두통을 단순히 한쪽 머리가 아픈 병으로 줄이지 않고, 반복되는 두통과 동반 변화를 시간표로 살핍니다.안내 열기 →","content"
"/","/health/kidney-stones","신장·비뇨기신장결석소변 속 물질이 작은 돌처럼 뭉치는 과정을 이해하고, 통증 위치와 소변 변화를 정확히 설명하도록 돕습니다.안내 열기 →","content"
"/","/health/urinary-tract-infection","신장·비뇨기요로감염소변 볼 때 불편하면 모두 같은 감염인지, 언제 콩팥 쪽 감염을 의심해 빨리 진료받아야 하는지 설명합니다.안내 열기 →","content"
"/","/health/depression","뇌·마음우울증우울증을 의지 부족으로 보지 않고, 오래 이어지는 기분·흥미·생활 변화와 위기 신호를 존중하며 살핍니다.안내 열기 →","content"
"/","/health/anxiety-disorder","뇌·마음불안장애누구나 느끼는 걱정과 일상을 오래 방해하는 불안의 차이를 살피되, 스스로 병명을 확정하지 않습니다.안내 열기 →","content"
"/","/health/stroke","뇌·마음뇌졸중갑작스러운 한쪽 마비와 말·시야 변화를 알아보고, 증상이 잠깐 좋아져도 기다리지 않아야 하는 이유를 설명합니다.안내 열기 →","content"
"/","/health/acute-myocardial-infarction","심장·혈관급성심근경색가슴 통증이 어느 정도여야 119를 불러야 하는지 망설이지 않도록, 다양한 심근경색 의심 신호와 행동을 정리합니다.안내 열기 →","content"
"/","/health/guides/danger-signals","생활 건강병원에 빨리 가야 하는 위험 신호온라인 글을 더 읽기보다 119 또는 신속한 의료 평가를 먼저 생각해야 하는 변화를 짧게 정리합니다.가이드 열기 →","content"
"/","/health/guides/measuring-blood-pressure","생활 건강혈압 제대로 재는 방법한 번의 숫자에 놀라기 전에 같은 조건에서 잴 수 있도록 준비·자세·기록을 나눕니다.가이드 열기 →","content"
"/","/health/guides/understanding-hba1c","생활 건강당화혈색소 HbA1c 쉽게 이해하기HbA1c가 무엇을 보여 주고 무엇은 말해 주지 못하는지, 진료 질문으로 연결합니다.가이드 열기 →","content"
"/","/health/guides/reading-health-results","생활 건강건강검진 결과지 처음 보는 법빨간 숫자를 곧바로 병명으로 바꾸지 않고, 검사명·기준·추적 계획을 차례로 확인합니다.가이드 열기 →","content"
"/","/health/guides/family-medication-support","생활 건강가족의 복약 관리를 도울 때 확인할 것감시하거나 약을 대신 정하지 않고, 당사자의 동의 아래 정확한 목록과 문의 경로를 준비합니다.가이드 열기 →","content"
"/","/health/guides/symptom-journal","생활 건강아픈 증상을 기록하는 방법통증 점수 하나보다 시작 시각, 변화, 함께 나타난 신호와 일상 영향을 짧게 남깁니다.가이드 열기 →","content"
"/","/health/guides/appointment-questions","생활 건강진료 전에 준비하면 좋은 질문진료시간에 가장 중요한 내용을 놓치지 않도록 질문을 세 묶음으로 정리합니다.가이드 열기 →","content"
"/","/health/guides/medication-list","생활 건강약 이름과 복용 정보를 정리하는 법처방약·일반약·보충제를 한 목록에 적어 진료와 약국에서 정확히 보여 줍니다.가이드 열기 →","content"
"/","/health/guides/older-parent-health-organizer","생활 건강고령 부모님 건강정보를 정리하는 방법가족이 대신 결정하기보다 당사자의 동의 아래 응급·진료 정보를 찾기 쉽게 정리합니다.가이드 열기 →","content"
"/","/health/tools/blood-pressure-log","고혈압, 숫자에 놀라기 전에 기록부터7일 혈압 기록표결론을 계산하지 않고 측정 환경과 원래 값을 함께 남기는 개인 기록지입니다.","content"
"/","/health/tools/blood-pressure-questions","고혈압, 숫자에 놀라기 전에 기록부터고혈압 진료 질문 카드기록을 진료 대화로 연결하는 질문을 골라 적습니다.","content"
"/","/health/tools/blood-pressure-prep","고혈압, 숫자에 놀라기 전에 기록부터혈압 측정 준비 체크리스트같은 조건에서 더 안정적으로 측정하기 위한 준비표입니다.","content"
"/","/health/tools/blood-pressure-warning","고혈압, 숫자에 놀라기 전에 기록부터기록보다 119가 먼저인 경고 카드혈압 숫자를 다시 재며 기다리지 않아야 할 동반 신호를 기억합니다.","content"
"/","/health/tools/glucose-observation-log","제2형 당뇨병, 한 번의 숫자보다 흐름 보기혈당 관찰 기록표이미 측정 중인 사람이 숫자와 생활 맥락을 함께 적는 기록지입니다.","content"
"/","/health/tools/diabetes-questions","제2형 당뇨병, 한 번의 숫자보다 흐름 보기제2형 당뇨병 진료 질문지검사 의미와 다음 행동을 의료진에게 확인하기 위한 질문지입니다.","content"
"/","/health/tools/family-support-checklist","제2형 당뇨병, 한 번의 숫자보다 흐름 보기가족 지원 체크리스트감시와 비난을 줄이고 당사자가 원하는 도움을 확인합니다.","content"
"/","/health/tools/diabetes-test-terms","제2형 당뇨병, 한 번의 숫자보다 흐름 보기혈당 검사 용어 한 장공복혈당과 HbA1c가 보는 시간 범위를 구분합니다.","content"
"/","/health/tools/allergy-trigger-observation","알레르기 비염, 원인을 단정하기보다 흐름을 살펴요알레르기 비염 관찰표증상·장소·시간을 적되 원인을 판정하지 않는 기록지입니다.","content"
"/","/health/tools/allergy-environment-check","알레르기 비염, 원인을 단정하기보다 흐름을 살펴요환경 변화 관찰 체크환경을 바꾼 뒤의 흐름을 살피고 개인 효과를 단정하지 않습니다.","content"
"/","/health/tools/allergy-appointment-questions","알레르기 비염, 원인을 단정하기보다 흐름을 살펴요알레르기 비염 진료 질문 카드증상 흐름과 검사 필요 여부를 묻기 위한 질문 카드입니다.","content"
"/","/health/tools/gerd-symptom-timing-log","위식도역류질환, 음식 하나보다 시간과 변화를 기록해요역류 증상·시간 기록표식사·자세·수면과 불편의 흐름을 적는 관찰표입니다.","content"
"/","/health/tools/gerd-everyday-patterns","위식도역류질환, 음식 하나보다 시간과 변화를 기록해요일상 패턴 관찰 체크음식 금지표가 아니라 개인의 흐름을 기록하는 체크리스트입니다.","content"
"/","/health/tools/gerd-appointment-prep","위식도역류질환, 음식 하나보다 시간과 변화를 기록해요위식도역류 진료 준비 카드증상·약·검사 필요 여부를 묻기 위한 질문 카드입니다.","content"
"/","/health/tools/oa-daily-activity-log","골관절염, 아픈 정도보다 생활의 변화를 함께 적어요관절 일상 변화 기록표활동 전후의 관절 변화와 일상 영향을 적는 관찰표입니다.","content"
"/","/health/tools/oa-visit-questions","골관절염, 아픈 정도보다 생활의 변화를 함께 적어요골관절염 진료 질문 카드원인 확인과 개인별 활동·치료 선택을 묻기 위한 질문 카드입니다.","content"
"/","/health/tools/oa-family-support","골관절염, 아픈 정도보다 생활의 변화를 함께 적어요관절 불편 가족 지원 체크속도를 재촉하지 않고 일상 지원과 질문 준비를 돕는 체크리스트입니다.","content"
"/","/health/tools/osteoporosis-appointment-prep","골다공증, 증상이 없을 때도 질문을 준비해요골다공증 진료 준비표골절·낙상·복용 약과 검사 질문을 정리하는 준비표입니다.","content"
"/","/health/tools/osteoporosis-home-check","골다공증, 증상이 없을 때도 질문을 준비해요낙상 위험 집안 점검표통로와 조명을 점검하되 골절 예방을 보장하지 않는 체크리스트입니다.","content"
"/","/health/tools/osteoporosis-terms","골다공증, 증상이 없을 때도 질문을 준비해요골밀도 검사 용어 한 장골밀도 검사와 결과 해석의 경계를 구분하는 안내입니다.","content"
"/","/health/tools/dyslipidemia-visit-card","이상지질혈증이상지질혈증 관찰·진료 질문 카드개인 진단 대신 증상 흐름과 의료진에게 물을 내용을 한 장에 정리합니다.","content"
"/","/health/tools/obesity-visit-card","비만비만 관찰·진료 질문 카드개인 진단 대신 증상 흐름과 의료진에게 물을 내용을 한 장에 정리합니다.","content"
"/","/health/tools/metabolic-dysfunction-associated-steatotic-liver-disease-visit-card","지방간(MASLD)지방간(MASLD) 관찰·진료 질문 카드개인 진단 대신 증상 흐름과 의료진에게 물을 내용을 한 장에 정리합니다.","content"
"/","/health/tools/irritable-bowel-syndrome-visit-card","과민성장증후군과민성장증후군 관찰·진료 질문 카드개인 진단 대신 증상 흐름과 의료진에게 물을 내용을 한 장에 정리합니다.","content"
"/","/health/tools/asthma-visit-card","천식천식 관찰·진료 질문 카드개인 진단 대신 증상 흐름과 의료진에게 물을 내용을 한 장에 정리합니다.","content"
"/","/health/tools/sleep-apnea-visit-card","수면무호흡증수면무호흡증 관찰·진료 질문 카드개인 진단 대신 증상 흐름과 의료진에게 물을 내용을 한 장에 정리합니다.","content"
"/","/health/tools/gout-visit-card","통풍통풍 관찰·진료 질문 카드개인 진단 대신 증상 흐름과 의료진에게 물을 내용을 한 장에 정리합니다.","content"
"/","/health/tools/migraine-visit-card","편두통편두통 관찰·진료 질문 카드개인 진단 대신 증상 흐름과 의료진에게 물을 내용을 한 장에 정리합니다.","content"
"/","/health/tools/kidney-stones-visit-card","신장결석신장결석 관찰·진료 질문 카드개인 진단 대신 증상 흐름과 의료진에게 물을 내용을 한 장에 정리합니다.","content"
"/","/health/tools/urinary-tract-infection-visit-card","요로감염요로감염 관찰·진료 질문 카드개인 진단 대신 증상 흐름과 의료진에게 물을 내용을 한 장에 정리합니다.","content"
"/","/health/tools/depression-visit-card","우울증우울증 관찰·진료 질문 카드개인 진단 대신 증상 흐름과 의료진에게 물을 내용을 한 장에 정리합니다.","content"
"/","/health/tools/anxiety-disorder-visit-card","불안장애불안장애 관찰·진료 질문 카드개인 진단 대신 증상 흐름과 의료진에게 물을 내용을 한 장에 정리합니다.","content"
"/","/health/tools/stroke-visit-card","뇌졸중뇌졸중 관찰·진료 질문 카드개인 진단 대신 증상 흐름과 의료진에게 물을 내용을 한 장에 정리합니다.","content"
