source,current_status,destination,decision,reason
/ko/after-the-credits/devil-wears-prada-ending-interpretation,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/after-the-credits/her-ai-relationship-interpretation,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/after-the-credits/inside-out-2-emotions-interpretation,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/after-the-credits/inside-out-emotion-interpretation,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/after-the-credits/lalaland-ending-interpretation,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/after-the-credits/parasite-ending-interpretation,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/after-the-credits/the-intern-work-and-age-interpretation,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/after-the-credits/truman-show-ending-interpretation,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/automation/activepieces-ai-business-automation-n8n-alternative,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/automation/apache-superset-bi-dashboard-automation,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/automation/appsmith-internal-dashboard-automation,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/automation/baserow-open-source-database-automation,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/automation/chatgpt-document-cleanup,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/automation/crawl4ai-blog-research-automation,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/automation/dify-llm-app-builder-business-automation,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/automation/directus-headless-cms-data-automation,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/automation/flowise-ai-agent-workflow-automation,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/automation/free-open-source-automation-tools-series,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/automation/google-sheets-ai-automation,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/automation/huginn-monitoring-automation-agent,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/automation/kestra-data-ai-workflow-orchestration,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/automation/langflow-ai-workflow-automation,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/automation/matomo-self-hosted-analytics-privacy-caution,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/automation/meilisearch-blog-product-search-automation,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/automation/metabase-dashboard-automation-for-small-business,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
/ko/automation/n8n-workflow-automation-license-caution,404,,KEEP_404_PENDING_HUMAN_DECISION,no verified equivalent replacement; do not redirect to homepage
