"url","route","page_type","title","description","h1","h1_count","canonical","http_status","indexable","robots","sitemap_present","lastmod","word_count","source_count","image_count","tool_count","internal_inlinks","content_inlinks","internal_outlinks","depth_from_home","structured_data","schema_errors","missing_alt","duration_ms"
"https://www.biz2lab.com/","/","home","오누림","질환을 쉽게 이해하고, 몸의 변화를 기록하며, 필요한 의료 도움을 제때 찾도록 돕는 일반 건강교육 안내서입니다.","어려운 질병 이야기,가족에게 설명하듯 쉽게 알려드릴게요","1","https://www.biz2lab.com","200","true","","true","2026-07-26T00:00:00.000Z","1117","0","0","34","76","0","73","0","[""Organization"",""WebSite""]","0","0","26"
"https://www.biz2lab.com/health","/health","hub","질환을 쉽게 이해하고 필요한 도움을 찾는 건강 안내서 | 오누림","20개 주요 질환을 쉬운 말과 원본 교육 그림으로 이해하고, 증상 기록과 진료 질문을 준비하는 오누림 건강 안내서입니다.","어려운 질병 이야기,가족에게 설명하듯 쉽게 알려드릴게요","1","https://www.biz2lab.com/health","200","true","","true","2026-07-26T00:00:00.000Z","1117","0","0","34","76","0","73","1","[""Organization"",""WebSite""]","0","0","44"
"https://www.biz2lab.com/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","disease","급성심근경색 | 오누림","가슴 통증이 어느 정도여야 119를 불러야 하는지 망설이지 않도록, 다양한 심근경색 의심 신호와 행동을 정리합니다.","급성심근경색","1","https://www.biz2lab.com/health/acute-myocardial-infarction","200","true","","true","2026-08-26T00:00:00.000Z","365","2","5","1","3","2","16","1","[""Organization"",""WebSite"",""Article""]","0","0","19"
"https://www.biz2lab.com/health/allergic-rhinitis","/health/allergic-rhinitis","disease","알레르기 비염, 원인을 단정하기보다 흐름을 살펴요 | 오누림","코와 눈의 불편을 감기와 혼동하지 않도록, 안전한 관찰과 진료 질문 준비를 돕습니다.","알레르기 비염, 원인을 단정하기보다 흐름을 살펴요","1","https://www.biz2lab.com/health/allergic-rhinitis","200","true","","true","2026-08-26T00:00:00.000Z","418","4","3","3","5","2","18","1","[""Organization"",""WebSite"",""Article""]","0","0","24"
"https://www.biz2lab.com/health/anxiety-disorder","/health/anxiety-disorder","disease","불안장애 | 오누림","누구나 느끼는 걱정과 일상을 오래 방해하는 불안의 차이를 살피되, 스스로 병명을 확정하지 않습니다.","불안장애","1","https://www.biz2lab.com/health/anxiety-disorder","200","true","","true","2026-08-26T00:00:00.000Z","391","2","5","1","3","2","16","1","[""Organization"",""WebSite"",""Article""]","0","0","14"
"https://www.biz2lab.com/health/asthma","/health/asthma","disease","천식 | 오누림","기도가 예민해져 좁아질 때 나타날 수 있는 변화를 이해하고, 평소 증상과 응급 호흡곤란을 분리합니다.","천식","1","https://www.biz2lab.com/health/asthma","200","true","","true","2026-08-26T00:00:00.000Z","361","3","5","1","3","2","16","1","[""Organization"",""WebSite"",""Article""]","0","0","13"
"https://www.biz2lab.com/health/depression","/health/depression","disease","우울증 | 오누림","우울증을 의지 부족으로 보지 않고, 오래 이어지는 기분·흥미·생활 변화와 위기 신호를 존중하며 살핍니다.","우울증","1","https://www.biz2lab.com/health/depression","200","true","","true","2026-08-26T00:00:00.000Z","403","2","5","1","3","2","16","1","[""Organization"",""WebSite"",""Article""]","0","0","12"
"https://www.biz2lab.com/health/dyslipidemia","/health/dyslipidemia","disease","이상지질혈증 | 오누림","겉으로 느껴지는 증상이 없어도 혈액검사에 나타날 수 있는 지질 수치를, 한 항목만 떼어 보지 않고 진료 질문으로 바꿉니다.","이상지질혈증","1","https://www.biz2lab.com/health/dyslipidemia","200","true","","true","2026-08-26T00:00:00.000Z","386","3","5","1","3","2","16","1","[""Organization"",""WebSite"",""Article""]","0","0","33"
"https://www.biz2lab.com/health/gastroesophageal-reflux-disease","/health/gastroesophageal-reflux-disease","disease","위식도역류질환, 음식 하나보다 시간과 변화를 기록해요 | 오누림","속쓰림과 역류감의 흐름을 관찰하고, 흉부 불편을 혼자 역류로 결론 내리지 않도록 돕습니다.","위식도역류질환, 음식 하나보다 시간과 변화를 기록해요","1","https://www.biz2lab.com/health/gastroesophageal-reflux-disease","200","true","","true","2026-08-26T00:00:00.000Z","439","5","3","3","5","2","18","1","[""Organization"",""WebSite"",""Article""]","0","0","43"
"https://www.biz2lab.com/health/gout","/health/gout","disease","통풍 | 오누림","통풍을 음식 하나의 벌처럼 설명하지 않고, 갑작스러운 관절 변화와 요산 검사의 한계를 함께 봅니다.","통풍","1","https://www.biz2lab.com/health/gout","200","true","","true","2026-08-26T00:00:00.000Z","383","3","5","1","3","2","16","1","[""Organization"",""WebSite"",""Article""]","0","0","15"
