claim_id,article,section,claim,claim_type,primary_source,secondary_source,source_date,source_checked_by,medical_review_required,medical_review_status,last_verified,wording_risk,publication_status
HTN-001,high-blood-pressure,한눈에 보기,고혈압은 혈압이 지속해서 높은 상태를 말한다,DEFINITION,KR-003,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,MEDIUM,PUBLICATION_BLOCKED
HTN-002,high-blood-pressure,한눈에 보기,고혈압은 특별한 증상이 없는 경우가 많다,SYMPTOM,KR-003,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,MEDIUM,PUBLICATION_BLOCKED
HTN-003,high-blood-pressure,한눈에 보기,한 번 높게 나온 측정값만으로 독자가 스스로 진단해서는 안 된다,SELF_CARE_LIMIT,KR-003,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,LOW,PUBLICATION_BLOCKED
HTN-004,high-blood-pressure,쉽게 말하면,높은 혈압이 오래 이어지면 혈관과 심장·뇌·콩팥에 부담을 줄 수 있다,RISK_FACTOR,KR-003,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,MEDIUM,PUBLICATION_BLOCKED
HTN-005,high-blood-pressure,왜 놓치기 쉬운가,두통이 없다고 정상으로 단정하거나 두통·어지럼의 원인을 반드시 고혈압으로 단정할 수 없다,SELF_CARE_LIMIT,KR-003,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
HTN-006,high-blood-pressure,측정 준비,측정 전 안정·등받이·발 위치·팔 지지·맞는 상완 커프가 올바른 측정 준비에 포함된다,PREVENTION,KR-003,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
HTN-007,high-blood-pressure,응급 신호,갑작스러운 한쪽 마비·말 이상은 즉시 응급 도움을 요청해야 할 수 있다,EMERGENCY_SIGN,KR-017,KR-003,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
HTN-008,high-blood-pressure,응급 신호,심한 흉통·호흡곤란·의식 저하는 즉시 응급 도움을 요청해야 할 수 있다,EMERGENCY_SIGN,KR-018,KR-003,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
HTN-009,high-blood-pressure,의료기관 확인,의료진은 반복 측정과 환경·병력·복용 약을 함께 살피고 필요한 검사를 결정할 수 있다,TEST,KR-003,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,MEDIUM,PUBLICATION_BLOCKED
HTN-010,high-blood-pressure,치료와 관리,생활 요소와 필요 시 약물 치료가 고혈압 관리에 함께 사용될 수 있다,TREATMENT_OVERVIEW,KR-003,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
HTN-011,high-blood-pressure,치료와 관리,처방약을 증상이나 측정값만 보고 임의로 중단·변경하면 안 된다,SELF_CARE_LIMIT,KR-003,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
DIA-001,type-2-diabetes,한눈에 보기,제2형 당뇨병은 혈액 속 포도당 조절 기능에 문제가 생긴 상태다,DEFINITION,KR-004,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,MEDIUM,PUBLICATION_BLOCKED
DIA-002,type-2-diabetes,한눈에 보기,제2형 당뇨병은 초기에 뚜렷한 증상이 없을 수 있다,SYMPTOM,KR-004,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,MEDIUM,PUBLICATION_BLOCKED
DIA-003,type-2-diabetes,한눈에 보기,증상 하나나 가정 측정 한 번으로 독자가 스스로 진단해서는 안 된다,SELF_CARE_LIMIT,KR-004,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,LOW,PUBLICATION_BLOCKED
DIA-004,type-2-diabetes,쉽게 말하면,인슐린은 혈액 속 포도당이 세포에서 쓰이도록 돕고 제2형 당뇨병에서는 이 작용이 충분하지 않을 수 있다,DEFINITION,KR-004,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
DIA-005,type-2-diabetes,증상,갈증·잦은 소변·피로·예상하지 않은 체중 변화 등이 나타날 수 있지만 증상이 없을 수도 있다,SYMPTOM,KR-004,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
DIA-006,type-2-diabetes,위험 요인,가족력·나이·신체 활동·체중 분포·다른 대사 질환 등 여러 요인이 관련될 수 있다,RISK_FACTOR,KR-004,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
DIA-007,type-2-diabetes,응급 신호,의식 변화·심한 구토와 탈수·급격한 상태 악화는 빠른 의료 도움이 필요할 수 있다,EMERGENCY_SIGN,KR-004,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
DIA-008,type-2-diabetes,저혈당 신호,당뇨병 약 사용 중 식은땀·떨림·심한 혼란·의식 저하는 저혈당 가능성을 포함해 빠른 대응이 필요할 수 있다,EMERGENCY_SIGN,KR-004,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
DIA-009,type-2-diabetes,검사,혈액 검사는 현재 또는 일정 기간의 혈당 상태를 확인하는 데 사용될 수 있다,TEST,KR-004,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,MEDIUM,PUBLICATION_BLOCKED
DIA-010,type-2-diabetes,치료와 관리,식사·활동·수면·금연·정기검사와 필요 시 약물 치료가 관리에 사용될 수 있다,TREATMENT_OVERVIEW,KR-004,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
DIA-011,type-2-diabetes,치료와 관리,처방약이나 인슐린을 기록값만 보고 임의로 줄이거나 중단하면 안 된다,SELF_CARE_LIMIT,KR-004,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
DIA-012,type-2-diabetes,가족 지원,가족은 비난보다 기록·진료 질문·개인 응급 계획 준비를 지원할 수 있다,CAREGIVER_ACTION,KR-004,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,MEDIUM,PUBLICATION_BLOCKED
STR-001,stroke,정의,뇌졸중은 뇌혈관이 막히거나 터져 뇌가 손상되는 응급질환이다,DEFINITION,KR-017,,UNKNOWN,PENDING_HUMAN_SOURCE_CHECKER,YES,NOT_STARTED,2026-08-21,HIGH,PUBLICATION_BLOCKED
