"from","to","anchor","context"
"/","/","본문으로 건너뛰기","content"
"/","/","OONURIM오누림","navigation"
"/","/health","질환 알아보기","navigation"
"/","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/","/health/guides/reading-health-results","검사·건강수치","navigation"
"/","/health/guides/family-medication-support","가족 건강","navigation"
"/","/health","건강 도구","navigation"
"/","/health/trust/about","오누림 소개","navigation"
"/","/health/trust/about","오누림이 제공하는 정보와 한계","content"
"/","/health","질환 이름을 알아보고 싶어요20개 질환에서 찾기","navigation"
"/","/health/guides/reading-health-results","검사표의 숫자와 용어가 낯설어요결과지를 읽을 때 확인할 항목","navigation"
"/","/health/guides/appointment-questions","진료에서 무엇을 물을지 정리하고 싶어요질문을 추리고 가져갈 자료 준비하기","navigation"
"/","/health/guides/family-medication-support","가족의 약을 함께 확인하고 싶어요대신 결정하지 않고 돕는 방법","navigation"
"/","/health/guides/danger-signals","평소에 알아둘 위험 신호와 신고 후 안내","content"
"/","/health/hypertension","고혈압: 측정 조건과 혈압 기록","content"
"/","/health/type-2-diabetes","제2형 당뇨병: 검사와 진료 질문","content"
"/","/health/dyslipidemia","이상지질혈증: 지질검사표 읽기","content"
"/","/health/allergic-rhinitis","알레르기 비염: 증상과 환경 관찰","content"
"/","/health/asthma","천식: 진료에서 확인할 것","content"
"/","/health/gastroesophageal-reflux-disease","역류성 식도염: 불편한 시간 기록","content"
"/","/health/osteoarthritis","골관절염: 일상 동작의 변화","content"
"/","/health/osteoporosis","골다공증: 골밀도검사 질문","content"
"/","/health/gout","통풍: 관절 증상과 요산검사","content"
"/","/health","뇌·마음 건강 등을 포함한 20개 질환 전체 보기","content"
"/","/health/guides/understanding-hba1c","HbA1c 뜻·NGSP와 검사표 읽기","content"
"/","/health/guides/measuring-blood-pressure","집에서 혈압을 잴 때의 준비와 기록","content"
"/","/health/guides/older-parent-health-organizer","부모님이 동의한 범위에서 진료 자료 정리하기","content"
"/","/health/guides/medication-list","복용 중인 약과 확인할 질문 적기","content"
"/","/health","인쇄해서 작성할 건강 기록표와 질문 카드 찾기","content"
"/","/health/trust/author","박영훈 비의료인 건강정보 편집자","content"
"/","/health/trust/sources-policy","출처 대조","content"
"/","/health/trust/medical-review-policy","의료 검토의 현재 상태","content"
"/","/health/trust/editorial-policy","글을 만들고 고치는 원칙","content"
"/","/health/trust/ai-disclosure","AI 활용 공개와 실제 독자 테스트 상태","content"
"/","/health/trust/corrections-policy","정정 원칙과 현재 연락 경로","content"
"/","/health","20개 질환 안내","navigation"
"/","/health/guides/danger-signals","위험 신호","navigation"
"/","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/","/health","건강 기록 도구","navigation"
"/","/health/trust/author","작성자","navigation"
"/","/health/trust/sources-policy","출처 원칙","navigation"
"/","/health/trust/corrections-policy","정정·문의","navigation"
"/","/health/trust/ai-disclosure","AI 활용 공개","navigation"
"/","/health/trust/advertising","광고 정책","navigation"
"/","/health/trust/disclaimer","면책 안내","navigation"
"/","/health/trust/privacy","개인정보","navigation"
"/","/health/trust/terms","이용약관","navigation"
"/health","/health","본문으로 건너뛰기","content"
"/health","/","OONURIM오누림","navigation"
"/health","/health","질환 알아보기","navigation"
"/health","/health/guides/danger-signals","몸이 보내는 신호","navigation"
"/health","/health/guides/reading-health-results","검사·건강수치","navigation"
"/health","/health/guides/family-medication-support","가족 건강","navigation"
"/health","/health","건강 도구","navigation"
"/health","/health/trust/about","오누림 소개","navigation"
"/health","/","오누림 홈","navigation"
"/health","/health","20개 질환 안내","navigation"
"/health","/health","9개 공통 가이드","navigation"
"/health","/health","34개 인쇄 도구","navigation"
"/health","/health/guides/danger-signals","평소에 알아둘 위험 신호와 신고 후 안내","content"
"/health","/health","심장·혈관","navigation"
"/health","/health","혈당·체중","navigation"
"/health","/health","소화·간","navigation"
"/health","/health","호흡·알레르기·수면","navigation"
"/health","/health","뼈·관절","navigation"
"/health","/health","신장·비뇨기","navigation"
"/health","/health","뇌·신경","navigation"
"/health","/health","마음 건강","navigation"
"/health","/health/hypertension","고혈압측정 조건·원래 혈압 값과 진료 질문","content"
"/health","/health/dyslipidemia","이상지질혈증LDL·HDL·중성지방과 검사 준비 질문","content"
"/health","/health/acute-myocardial-infarction","급성심근경색심한 흉통만 기다리지 않는 도움 요청과 검사 이해","content"
"/health","/health/type-2-diabetes","제2형 당뇨병혈당검사의 역할과 개인 관리 질문","content"
"/health","/health/obesity","비만낙인 없이 체중 변화·생활 여건 이야기하기","content"
"/health","/health/gastroesophageal-reflux-disease","위식도역류질환(역류성 식도염)속쓰림이 생기는 때와 다른 불편의 구분","content"
"/health","/health/irritable-bowel-syndrome","과민성장증후군복통과 배변 전후 변화, 검사로 확인할 것","content"
"/health","/health/metabolic-dysfunction-associated-steatotic-liver-disease","지방간(MASLD)간효소·간 지방·섬유화 검사의 차이","content"
"/health","/health/allergic-rhinitis","알레르기 비염코 증상·환경 관찰과 알레르기 검사","content"
"/health","/health/asthma","천식기도의 변화·흡입기와 개인 행동계획 질문","content"
"/health","/health/sleep-apnea","수면무호흡증밤의 관찰·낮의 졸림과 수면검사","content"
"/health","/health/osteoarthritis","골관절염통증뿐 아니라 일상 동작에서 달라진 점","content"
"/health","/health/osteoporosis","골다공증골밀도검사·골절 이력과 집안 환경","content"
"/health","/health/gout","통풍이번 관절 통증과 이후 요산 관리 질문 나누기","content"
"/health","/health/kidney-stones","신장결석요로의 위치·검사와 배출 여부 확인 질문","content"
"/health","/health/urinary-tract-infection","요로감염방광염·신우신염, 소변검사와 배양검사","content"
"/health","/health/migraine","편두통두통의 변화·동반 현상과 실제 약 사용 기록","content"
"/health","/health/stroke","뇌졸중갑작스러운 신호와 119 도움 요청, 두 시각의 의미","content"
"/health","/health/depression","우울증본인의 경험을 듣고 도움을 연결하는 가족의 역할","content"
"/health","/health/anxiety-disorder","불안장애불안을 느낀 상황·생활 영향과 진료 준비","content"
"/health","/health/guides/reading-health-results","건강검진 결과지, 숫자와 표시를 읽는 순서빨간 숫자나 양성 표시만으로 병을 확정하지 않습니다. 혈액·소변 검사 결과에서 비교할 항목과 참고범위의 한계, 다시 검사하거나 진료받을 때 물을 질문을 정리합니다.","content"
"/health","/health/guides/understanding-hba1c","당화혈색소(HbA1c), 검사표의 NGSP·IFCC부터 읽기HbA1c가 보여 주는 기간, NGSP·IFCC 단위와 공복혈당의 차이를 비교합니다. 결과표에서 확인할 항목과 수치가 엇갈릴 때 의료진에게 물을 질문을 정리했습니다.","content"
"/health","/health/guides/measuring-blood-pressure","집에서 혈압 재는 방법, 준비부터 기록까지맨팔에 맞는 위팔 커프, 안정 시간, 등·팔·발의 자세와 반복 측정 기록을 확인합니다. 진단 숫자를 고르는 대신 의료진에게 비교 가능한 결과와 측정 조건을 가져가는 방법입니다.","content"
"/health","/health/guides/symptom-journal","아픈 증상을 짧고 정확하게 기록하는 방법시작 시점, 느낀 불편, 달라지는 상황과 일상 영향을 가능한 만큼 기록합니다. 관찰과 원인 추정을 나누는 예시, 두통·수면 기록의 차이와 기록보다 도움 요청이 먼저인 때를 확인하세요.","content"
"/health","/health/guides/appointment-questions","진료에서 꼭 묻고 싶은 것부터 준비하세요가장 걱정되는 질문부터 고르고 검사 목적·치료 선택지·다음 일정을 확인합니다. 설명을 이해하지 못했거나 실행이 어려울 때 말하는 방법과 귀가 후 문의할 내용을 정리합니다.","content"
"/health","/health/guides/medication-list","약 목록, 이름과 사용 안내를 나누어 적으세요처방약·일반약·안약·바르는 약·보충제를 한 목록에 정리합니다. 제품 함량과 안내받은 사용량을 나누고, 모르는 정보와 변경사항을 표시해 진료·약국에 전달하는 방법입니다.","content"
"/health","/health/guides/family-medication-support","가족의 약 챙기기, 대신 결정하지 않고 돕는 법당사자가 원하는 도움부터 확인합니다. 약을 헷갈리거나 잊을 때, 삼키기 어렵거나 복용을 거부할 때의 질문과 가족 간 전달 방법을 정리합니다. 용량·복용법은 임의로 바꾸지 않습니다.","content"
"/health","/health/guides/older-parent-health-organizer","부모님 건강정보, 함께 정하고 찾기 쉽게 정리하세요당사자가 동의한 범위에서 한 장 요약과 원본 위치를 나눕니다. 현재 전체 약 목록, 검사·예약 날짜, 연락처와 확인 필요 사항을 구분해 가족과 진료기관에 전달하는 방법입니다.","content"
"/health","/health/guides/danger-signals","이런 위험 신호라면 글보다 119가 먼저입니다갑작스러운 마비·말 이상, 심근경색 의심 증상, 심한 호흡곤란·의식 변화에는 즉시 119에 연락합니다. 잠깐 호전돼도 미루지 않을 이유와 119 신고·109 상담의 차이를 확인하세요.","content"
"/health","/health/trust/privacy","기록표·출력물과 개인정보 안내","content"
"/health","/health/tools/blood-pressure-log","가정 혈압 기록표인쇄 기록표","content"
"/health","/health/tools/blood-pressure-questions","고혈압 진료 질문 카드진료 질문지","content"
"/health","/health/tools/blood-pressure-prep","혈압 측정 준비 체크리스트관찰·준비 점검","content"
"/health","/health/tools/blood-pressure-warning","기록보다 119가 먼저인 경고 카드위험 신호 참고","content"
"/health","/health/tools/dyslipidemia-visit-card","지질검사 진료 질문지진료 질문지","content"
"/health","/health/tools/acute-myocardial-infarction-visit-card","심근경색 전달 메모119 신고 후 전달·치료 뒤 질문","content"
"/health","/health/tools/glucose-observation-log","혈당 관찰 기록표인쇄 기록표","content"
"/health","/health/tools/diabetes-questions","제2형 당뇨병 진료 질문지진료 질문지","content"
"/health","/health/tools/family-support-checklist","가족 지원 체크리스트관찰·준비 점검","content"
"/health","/health/tools/diabetes-test-terms","혈당 검사 용어 한 장용어·사용 참고","content"
"/health","/health/tools/obesity-visit-card","비만 상담 메모진료 질문지","content"
"/health","/health/tools/gerd-symptom-timing-log","역류 증상·시간 기록표인쇄 기록표","content"
"/health","/health/tools/gerd-everyday-patterns","역류 생활 패턴 관찰 체크관찰·준비 점검","content"
"/health","/health/tools/gerd-appointment-prep","위식도역류 진료 준비 카드진료 질문지","content"
"/health","/health/tools/irritable-bowel-syndrome-visit-card","복통·배변 질문지진료 질문지","content"
"/health","/health/tools/metabolic-dysfunction-associated-steatotic-liver-disease-visit-card","지방간 검사 상담표진료 질문지","content"
"/health","/health/tools/allergy-trigger-observation","알레르기 비염 관찰표인쇄 기록표","content"
"/health","/health/tools/allergy-environment-check","환경 변화 관찰 체크관찰·준비 점검","content"
"/health","/health/tools/allergy-appointment-questions","알레르기 비염 진료 질문 카드진료 질문지","content"
"/health","/health/tools/asthma-visit-card","천식 진료 질문지진료 질문지","content"
"/health","/health/tools/sleep-apnea-visit-card","밤·낮 수면 질문지진료 질문지","content"
"/health","/health/tools/oa-daily-activity-log","관절 일상 변화 기록표인쇄 기록표","content"
"/health","/health/tools/oa-visit-questions","골관절염 진료 질문 카드진료 질문지","content"
"/health","/health/tools/oa-family-support","관절 불편 가족 지원 체크관찰·준비 점검","content"
"/health","/health/tools/osteoporosis-appointment-prep","골다공증 진료 준비표진료 질문지","content"
"/health","/health/tools/osteoporosis-home-check","낙상 위험 집안 점검표관찰·준비 점검","content"
"/health","/health/tools/osteoporosis-terms","골밀도 검사 용어 카드용어·사용 참고","content"
"/health","/health/tools/gout-visit-card","통풍 진료 질문지진료 질문지","content"
"/health","/health/tools/kidney-stones-visit-card","신장결석 진료 준비표진료 질문지","content"
"/health","/health/tools/urinary-tract-infection-visit-card","요로감염 진료 메모진료 질문지","content"
"/health","/health/tools/migraine-visit-card","두통 진료 준비표진료 질문지","content"
"/health","/health/tools/stroke-visit-card","뇌졸중 전달 메모119 신고 후 전달·치료 뒤 질문","content"
"/health","/health/tools/depression-visit-card","우울감 진료 메모진료 질문지","content"
"/health","/health/tools/anxiety-disorder-visit-card","불안 진료 메모진료 질문지","content"
"/health","/health/trust/author","박영훈 비의료인 건강정보 편집자","content"
"/health","/health/trust/sources-policy","공식 원문 대조","content"
"/health","/health/trust/medical-review-policy","의료 검토의 현재 상태","content"
"/health","/health/trust/ai-disclosure","AI 활용 공개와 실제 독자 테스트 상태","content"
"/health","/health/trust/corrections-policy","정정 원칙과 현재 접수 경로","content"
"/health","/health","20개 질환 안내","navigation"
"/health","/health/guides/danger-signals","위험 신호","navigation"
"/health","/health/guides/appointment-questions","진료 질문 준비","navigation"
"/health","/health","건강 기록 도구","navigation"
"/health","/health/trust/author","작성자","navigation"
"/health","/health/trust/sources-policy","출처 원칙","navigation"
