candidate_id,korean_name,memorability,pronunciation,easy_spelling,warmth,adult_credibility,child_comprehension,health_editorial_fit,expandability,verbal_recommendation,visual_brandability,domain_compatibility,distinctiveness,genericness,provider_confusion,government_confusion,care_confusion,counseling_confusion,pharma_feel,childishness,negative_homophone,romanization_ambiguity,typo_probability,ai_brand_feel,stage_decision
R2-001,도아림,4,5,5,4,4,4,4,4,4,4,5,4,1,0,0,0,0,0,1,0,0,1,1,RETAIN_60
R2-002,라하움,4,4,5,4,4,3,3,4,4,5,5,5,0,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-003,모이든,4,5,5,3,4,4,3,4,4,4,5,4,1,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-004,노이담,4,5,5,4,4,4,3,4,4,4,5,4,1,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-005,루아든,4,5,5,4,4,4,3,4,4,4,5,5,0,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-006,세루온,4,5,5,3,4,3,3,4,4,5,5,5,0,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-007,다로움,4,5,4,4,4,4,3,4,4,4,5,4,1,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-008,아르빈,4,5,5,3,4,3,3,4,4,4,5,5,0,0,0,0,0,1,1,0,0,1,2,RETAIN_60
R2-009,로미안,4,5,5,4,4,4,3,4,4,4,5,4,1,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-010,유라온,4,5,5,4,4,4,3,4,4,4,5,4,1,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-011,하도림,5,5,5,4,5,4,4,5,5,5,5,5,0,0,0,0,0,0,0,0,0,1,1,RETAIN_60
R2-012,레노움,4,5,5,3,4,3,3,4,4,5,5,5,0,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-013,바루엔,4,4,5,3,4,3,3,4,4,4,5,5,0,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-014,이노별,4,5,4,4,4,4,3,4,4,4,4,4,1,0,0,0,0,0,1,0,0,2,2,RETAIN_60
R2-015,소라움,4,5,5,4,4,4,3,4,4,4,5,4,1,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-016,오르담,4,5,5,3,4,3,3,4,4,4,5,4,1,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-017,네아론,4,5,5,3,4,3,3,4,4,5,5,5,0,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-018,루모아,4,5,5,4,4,4,3,4,4,4,5,5,0,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-019,다루온,4,5,5,4,4,4,3,4,4,4,5,5,0,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-020,마로움,4,5,4,4,4,4,3,4,4,4,4,4,1,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-021,세이담,4,5,5,3,4,3,3,4,4,4,5,5,0,0,0,0,0,1,1,0,0,1,2,RETAIN_60
R2-022,노루안,4,5,5,4,4,4,3,4,4,4,5,5,0,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-023,아리온,4,5,5,3,4,3,3,4,4,4,5,4,1,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-024,로아든,4,5,5,4,4,4,3,4,4,4,5,5,0,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-025,미로담,4,5,5,4,4,4,3,4,4,4,5,4,1,0,0,0,0,1,1,0,0,1,2,RETAIN_60
R2-026,도루안,4,5,5,4,4,4,3,4,4,4,5,5,0,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-027,누아림,4,5,5,4,4,4,3,4,4,4,5,5,0,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-028,라모든,4,5,5,3,4,3,3,4,4,4,5,5,0,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-029,오리담,4,5,5,4,4,4,3,4,4,4,5,4,1,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-030,베루온,4,5,5,3,4,3,3,4,4,4,5,5,0,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-031,이라움,4,5,5,4,4,4,3,4,4,4,5,4,1,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-032,다모안,4,5,5,3,4,3,3,4,4,4,5,5,0,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-033,루비담,4,5,5,4,4,4,3,4,4,4,5,4,1,0,0,0,0,1,1,0,0,1,2,RETAIN_60
R2-034,아노림,5,5,5,4,5,4,4,5,5,5,5,5,0,0,0,0,0,0,0,0,0,1,1,RETAIN_60
R2-035,세라온,4,5,5,3,4,3,3,4,4,4,5,4,1,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-036,모루담,4,5,5,4,4,4,3,4,4,4,5,4,1,0,0,0,0,1,1,0,0,1,2,RETAIN_60
R2-037,노아든,4,5,5,4,4,4,3,4,4,4,5,5,0,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-038,라두온,4,5,5,3,4,3,3,4,4,4,5,5,0,0,0,0,0,0,1,0,0,1,2,RETAIN_60
R2-039,오누림,5,5,5,4,5,4,4,5,5,5,5,5,0,0,0,1,0,0,1,0,0,1,1,RETAIN_60
R2-040,유로담,4,5,5,3,4,3,3,4,4,4,5,4,1,0,0,0,0,1,1,0,0,1,2,RETAIN_60
R2-041,누아든,4,5,5,4,4,4,3,4,4,4,5,5,0,0,0,0,0,0,1,0,0,1,2,SCREEN_OUT
R2-042,미라온,3,5,5,4,3,4,3,3,3,3,5,3,2,0,0,0,0,0,2,0,0,1,2,SCREEN_OUT
