candidate_id,korean_name,domain,source,query,url,checked_at,dns_observation,rdap_or_registration_observation,https_observation,status,confidence,limitation
R2-011,하도림,hadorim.com,Public DNS + Verisign RDAP + HTTPS,hadorim.com,https://rdap.verisign.com/com/v1/domain/hadorim.com,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,RDAP_404_NO_RECORD_RETURNED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_APPEARS_AVAILABLE_UNCONFIRMED,HIGH,not purchase availability or clean history
R2-011,하도림,hadorim.kr,Public DNS + KRNIC human check,hadorim.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-011,하도림,hadorim.co.kr,Public DNS + KRNIC human check,hadorim.co.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-034,아노림,anorim.com,Public DNS + Verisign RDAP + HTTPS,anorim.com,https://rdap.verisign.com/com/v1/domain/anorim.com,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,RDAP_404_NO_RECORD_RETURNED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_APPEARS_AVAILABLE_UNCONFIRMED,HIGH,not purchase availability or clean history
R2-034,아노림,anorim.kr,Public DNS + KRNIC human check,anorim.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-034,아노림,anorim.co.kr,Public DNS + KRNIC human check,anorim.co.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-039,오누림,onurim.com,Public DNS + Verisign RDAP + HTTPS,onurim.com,https://rdap.verisign.com/com/v1/domain/onurim.com,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,RDAP_404_NO_RECORD_RETURNED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_APPEARS_AVAILABLE_UNCONFIRMED,HIGH,not purchase availability or clean history
R2-039,오누림,onurim.kr,Public DNS + KRNIC human check,onurim.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-039,오누림,onurim.co.kr,Public DNS + KRNIC human check,onurim.co.kr,https://whois.kisa.or.kr,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,REGISTRAR_HUMAN_CHECK_REQUIRED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_HUMAN_REGISTRAR_CHECK_REQUIRED,LOW,no registrar result captured
R2-024,로아든,roadeun.com,Public DNS + Verisign RDAP + HTTPS,roadeun.com,https://rdap.verisign.com/com/v1/domain/roadeun.com,2026-08-24 KST,NO_A_RECORD_OR_LOOKUP_ERROR,RDAP_404_NO_RECORD_RETURNED,HTTPS_CONNECTION_OR_RESOLUTION_ERROR,DOMAIN_APPEARS_AVAILABLE_UNCONFIRMED,HIGH,not purchase availability or clean history
