candidate_id,korean_name,pipeline_stage,meaning_clarity,health_relevance,trust,memorability,pronunciation,spelling_ease,elementary_comprehension,adult_credibility,family_usefulness,emotional_warmth,editorial_expandability,visual_identity,tagline_compatibility,domain_viability,search_discoverability,trademark_conflict_risk,search_confusion_risk,medical_authority_risk,government_affiliation_risk,genericness_risk,negative_meaning_risk,typo_risk,childishness_risk,fearbait_risk,ai_generated_brand_feel,domain_history_risk,preclearance_evidence_risk,hard_gate_result,decision
BR-003,몸의말,STAGE3,4,4,4,4,4,4,4,4,4,4,5,4,4,2,3,3,3,4,0,2,0,1,0,0,0,0,2,MEDICAL_AUTHORITY_RISK,NOT_FINAL
BR-005,몸살핌,STAGE3,3,4,4,3,3,3,3,4,4,4,5,4,4,2,3,3,3,3,0,2,1,3,0,0,0,0,2,PRONUNCIATION_AND_CONFLICT_CHECK,NOT_FINAL
BR-006,몸안내,STAGE3,5,5,4,4,5,5,5,4,4,4,5,4,5,3,2,3,3,1,0,4,0,0,0,0,0,1,1,HUMAN_TRADEMARK_AND_SEARCH_REQUIRED,FINALIST
BR-007,몸읽기,STAGE2,4,4,4,4,4,4,4,4,4,4,5,4,4,2,3,3,3,4,0,2,0,1,0,0,0,0,2,MEDICAL_AUTHORITY_RISK,NOT_FINAL
BR-009,몸한눈,STAGE2,4,4,3,4,4,4,4,3,4,4,4,4,4,2,3,3,3,2,0,2,0,1,1,1,0,0,2,ADULT_CREDIBILITY_READER_TEST,NOT_FINAL
BR-013,건강말,STAGE2,5,5,3,3,5,5,5,3,4,4,5,3,5,2,2,3,3,0,0,5,0,0,0,0,0,0,2,GENERICNESS_HIGH,NOT_FINAL
BR-016,건강첫걸음,STAGE2,5,5,4,4,5,5,5,4,4,4,5,4,5,2,2,3,3,0,0,4,0,0,0,0,0,0,2,GENERICNESS_HIGH,NOT_FINAL
BR-017,건강한장면,STAGE2,3,4,4,3,4,4,4,4,4,4,4,4,4,2,3,3,3,0,0,3,0,0,0,0,0,0,2,HEALTH_CLARITY_READER_TEST,NOT_FINAL
BR-023,곁건강,STAGE3,4,5,4,4,4,4,4,4,5,5,5,4,4,2,3,3,3,1,0,3,0,0,0,0,0,0,2,HUMAN_TRADEMARK_AND_SEARCH_REQUIRED,FINALIST
BR-026,곁살핌,STAGE3,4,4,5,4,4,4,4,5,5,5,5,5,5,3,3,3,3,1,0,2,0,0,0,0,0,0,2,HUMAN_TRADEMARK_AND_SEARCH_REQUIRED,FINALIST
BR-027,함께살핌,STAGE3,4,4,4,3,4,4,4,4,5,5,5,4,4,2,3,3,3,1,0,3,0,0,0,0,0,0,2,GENERIC_CAMPAIGN_RISK,NOT_FINAL
BR-028,건강질문집,STAGE3,5,5,4,4,5,5,5,4,5,4,4,4,5,2,3,3,3,3,0,3,0,0,0,0,0,0,2,CONSULTATION_MISUNDERSTANDING,NOT_FINAL
BR-029,가족기록,STAGE2,4,4,4,4,5,5,5,4,5,4,4,4,4,2,3,3,3,3,0,3,0,0,0,0,0,0,2,PERSONAL_RECORD_MISUNDERSTANDING,NOT_FINAL
BR-031,살핌길,STAGE3,4,4,4,4,4,4,4,4,4,5,5,5,4,3,3,3,3,0,0,3,0,1,0,0,0,0,2,HUMAN_TRADEMARK_AND_SEARCH_REQUIRED,FINALIST
BR-034,차분건강,STAGE2,4,5,3,3,4,4,4,3,4,5,5,3,4,2,3,3,3,0,0,4,0,0,0,0,0,0,2,NATURALNESS_READER_TEST,NOT_FINAL
BR-035,다음건강,STAGE2,4,5,4,4,4,4,4,4,4,4,5,4,4,2,3,3,3,3,0,3,0,0,0,0,0,0,2,TREATMENT_PATH_MISUNDERSTANDING,NOT_FINAL
BR-036,몸의길,STAGE3,4,4,4,4,4,4,4,4,4,5,5,4,4,2,3,3,3,4,0,3,0,1,0,0,0,0,2,MEDICAL_PATH_MISUNDERSTANDING,NOT_FINAL
BR-042,살핌노트,STAGE3,5,4,4,4,5,5,5,4,5,4,5,4,5,4,3,3,3,0,0,3,0,0,0,0,0,0,1,HUMAN_TRADEMARK_AND_SEARCH_REQUIRED,FINALIST
BR-046,질문노트,STAGE2,4,3,4,4,5,5,5,4,4,4,5,4,4,2,3,3,3,1,0,3,0,0,0,0,0,0,2,HEALTH_RELEVANCE_LOW,NOT_FINAL
BR-051,살핌온,STAGE2,3,3,4,4,4,4,3,4,4,5,5,5,4,2,3,3,3,0,0,2,0,0,0,0,0,3,2,MEANING_READER_TEST,NOT_FINAL
