visual_id,article,role,learning_objective,exact_claim,claim_ids,source,prohibited_misleading_simplifications,mobile_readability,alt_text,caption,medical_review_state,ai_disclosure_metadata_plan
VIS-HTN-01,high-blood-pressure,HERO,측정과 기록이 진료 대화 준비라는 점을 이해,혈압은 몸의 느낌만으로 알기 어려워 올바른 측정과 기록이 필요하다,HTN-002+HTN-003,KR-003,숫자 하나로 정상·위험을 판정하거나 인물 외모로 고혈압을 표현,16대9 중심 피사체와 짧은 시각 흐름,상완 혈압을 측정하고 결과를 기록하는 사람,측정값은 진단이 아니라 진료 대화를 위한 기록입니다,LICENSED_REVIEW_REQUIRED,tool+model+prompt_version+generated_at+human_editor+asset_hash
VIS-HTN-02,high-blood-pressure,BODY_PROCESS,혈압이 혈관 벽에 주는 압력 개념 이해,높은 압력이 오래 이어지면 혈관과 장기에 부담을 줄 수 있다,HTN-004,KR-003,혈관 파열을 필연처럼 표현하거나 정상·질환을 임의 수치로 구분,세 단계 이하의 큰 화살표와 최소 label,심장에서 나온 혈액이 혈관을 흐르며 벽에 압력을 주는 그림,혈압은 혈액이 혈관 벽에 주는 힘입니다,LICENSED_REVIEW_REQUIRED,tool+model+prompt_version+generated_at+human_editor+asset_hash
VIS-HTN-03,high-blood-pressure,URGENT_WARNING,기록보다 119가 우선인 동반 신호 구분,갑작스러운 한쪽 마비·말 이상·심한 흉통·호흡곤란·의식 저하는 응급 도움을 요청할 신호다,HTN-007+HTN-008,KR-017+KR-018,혈압 수치만으로 응급을 판정하거나 모든 두통을 응급으로 표시,한 화면 네 카드와 119 행동을 최상단 배치,갑작스러운 마비와 말 이상 및 심한 흉통과 호흡곤란 경고 카드,이런 증상이 갑자기 생기면 측정을 반복하지 말고 119에 도움을 요청하세요,LICENSED_REVIEW_REQUIRED,tool+model+prompt_version+generated_at+human_editor+asset_hash
VIS-HTN-04,high-blood-pressure,ACTION_CHECKLIST,측정 자세와 기록 준비 순서 이해,안정·등받이·발 위치·팔 지지·맞는 상완 커프가 측정 준비에 포함된다,HTN-006,KR-003,특정 자세만으로 정확성을 보장하거나 기기를 제품처럼 홍보,세로 카드에서 단계당 한 장면과 큰 체크 아이콘,등을 기대고 발과 팔을 안정시킨 채 상완 커프를 착용한 측정 자세,같은 조건과 올바른 자세로 측정한 뒤 기록하세요,LICENSED_REVIEW_REQUIRED,tool+model+prompt_version+generated_at+human_editor+asset_hash
VIS-DIA-01,type-2-diabetes,HERO,혈당 기록은 약 조절이 아니라 진료 질문 준비임을 이해,가정 측정 한 번으로 진단하거나 약을 바꾸지 않고 기록을 진료에 활용한다,DIA-003+DIA-011,KR-004,체형·음식을 질환의 단일 원인으로 표현하거나 측정값에 투약 행동 연결,16대9에서 기록표와 진료 질문을 크게 표현,혈당 기록과 질문표를 준비하는 다양한 체형의 성인,기록은 약을 스스로 바꾸기 위한 것이 아니라 진료 대화를 돕습니다,LICENSED_REVIEW_REQUIRED,tool+model+prompt_version+generated_at+human_editor+asset_hash
VIS-DIA-02,type-2-diabetes,BODY_PROCESS,포도당과 인슐린의 기본 관계 이해,인슐린은 혈액 속 포도당이 세포에서 쓰이도록 돕고 제2형 당뇨병에서는 이 작용이 충분하지 않을 수 있다,DIA-004,KR-004,인슐린을 실제 열쇠로 오해하게 하거나 모든 당뇨병 기전을 하나로 단정,네 단계 이하와 큰 방향 화살표,포도당과 인슐린 신호가 세포 이용으로 이어지는 단순 흐름,인슐린은 혈당이 세포에서 쓰이도록 돕는 신호와 비슷합니다,LICENSED_REVIEW_REQUIRED,tool+model+prompt_version+generated_at+human_editor+asset_hash
VIS-DIA-03,type-2-diabetes,URGENT_WARNING,일상 기록을 중단하고 도움을 요청할 상태 인지,의식 변화·심한 탈수·저혈당 의심 혼란은 빠른 의료 도움이 필요할 수 있다,DIA-007+DIA-008,KR-004,증상만으로 고혈당·저혈당을 확진하거나 음식 섭취를 일률 처방,두 구역 카드와 도움 요청 아이콘 우선,의식 변화와 심한 탈수 및 저혈당 의심 혼란을 나타내는 경고 카드,의식이 흐려지거나 상태가 급격히 나빠지면 기록보다 의료 도움을 우선하세요,LICENSED_REVIEW_REQUIRED,tool+model+prompt_version+generated_at+human_editor+asset_hash
VIS-DIA-04,type-2-diabetes,ACTION_CHECKLIST,비난 없는 가족 지원과 진료 준비 이해,가족은 비난보다 기록·진료 질문·개인 응급 계획 준비를 지원할 수 있다,DIA-012,KR-004,가족이 식사·약을 통제하거나 특정 체형을 문제로 표시,세로 체크 카드와 인물 간 충분한 간격,기록과 질문을 함께 정리하며 당사자의 선택을 존중하는 가족,감시보다 동의와 질문 준비로 도와주세요,LICENSED_REVIEW_REQUIRED,tool+model+prompt_version+generated_at+human_editor+asset_hash
VIS-STR-01,stroke,HERO,갑작스러운 변화 뒤 첫 행동은 119임을 기억,얼굴·팔·말의 갑작스러운 변화가 있으면 즉시 119 도움을 요청한다,STR-002,KR-017,온라인 자가검사 단계를 넣거나 모든 증상이 있어야 신고하는 흐름,16대9에서 전화 행동과 시각 기록을 가장 크게 표현,갑작스러운 얼굴과 팔 및 말의 변화 뒤 119에 연락하는 장면,갑작스러운 변화가 하나라도 보이면 즉시 119에 연락하세요,LICENSED_REVIEW_REQUIRED,tool+model+prompt_version+generated_at+human_editor+asset_hash
VIS-STR-02,stroke,BODY_PROCESS,막힘과 출혈 모두 병원 확인이 필요함을 이해,뇌혈관은 막히거나 터질 수 있으며 독자가 증상만으로 둘을 구분할 수 없다,STR-001+STR-004,KR-017,두 유형의 증상을 독자가 구분하도록 표시하거나 손상을 공포스럽게 묘사,좌우 비교 두 칸과 공통 병원 평가 화살표,막힌 뇌혈관과 출혈이 생긴 뇌혈관을 단순 비교한 그림,두 종류 모두 증상만으로 구분할 수 없어 빠른 병원 평가가 필요합니다,LICENSED_REVIEW_REQUIRED,tool+model+prompt_version+generated_at+human_editor+asset_hash
