"id","file","exists","format","width","height","declared_width","declared_height","file_size_bytes","alt_text","caption","article_slug","article_relevance","exact_duplicate_count","nearest_visual_distance","duplicate_risk","loading_strategy","medical_accuracy","privacy","claim_ids","audit_result"
"VIS-HTN-B1-01","public/images/onurim/hypertension/hero.webp","true","webp","1536","1024","1536","1024","150824","집에서 혈압을 잰 뒤 기록표에 숫자와 시간을 적는 성인의 차분한 교육용 삽화","측정을 마친 뒤 원래 값을 적는 장면입니다. 측정하는 동안에는 쓰거나 움직이지 않습니다.","hypertension","ARTICLE_PATH_AND_CLAIM_MAPPED","0","20","LOW","NEXT_IMAGE_PRELOAD_HERO","CLAIM_MAPPING_PRESENT;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","HTN-B1-004|HTN-B1-008","PASS"
"VIS-HTN-B1-02","public/images/onurim/hypertension/process-v2.webp","true","webp","1536","1024","1536","1024","65206","혈관 내부에서 벽 쪽으로 향하는 화살표로 혈액이 혈관 벽을 미는 압력을 표현한 단순화 삽화","화살표는 혈관 안의 피가 벽을 미는 압력을 나타냅니다. 심장과 혈관의 연결·크기는 개념 설명용이며 실제 해부도나 진단 영상이 아닙니다.","hypertension","ARTICLE_PATH_AND_CLAIM_MAPPED","0","24","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","SOURCE_CONCEPT_CHECKED;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","HTN-B1-001|HTN-B1-005","PASS"
"VIS-HTN-B1-03","public/images/onurim/hypertension/warning.webp","true","webp","1536","1024","1536","1024","127534","가슴 통증과 호흡곤란 갑작스러운 한쪽 힘 빠짐과 말 이상 시 119 도움을 우선하는 경고 삽화","갑작스러운 심한 증상이 있으면 측정을 반복하며 기다리지 말고 119에 도움을 요청합니다.","hypertension","ARTICLE_PATH_AND_CLAIM_MAPPED","0","18","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","CLAIM_MAPPING_PRESENT;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","HTN-B1-011|HTN-B1-012","PASS"
"VIS-HTN-B1-04","public/images/onurim/hypertension/checklist.webp","true","webp","1024","1536","1024","1536","142652","등과 팔을 받치고 두 발을 바닥에 둔 채 맨팔 커프로 혈압을 재는 자세의 교육용 삽화","5분 휴식, 안정된 자세와 맞는 커프가 기록의 출발점입니다.","hypertension","ARTICLE_PATH_AND_CLAIM_MAPPED","0","24","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","CLAIM_MAPPING_PRESENT;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","HTN-B1-006|HTN-B1-007|HTN-B1-008","PASS"
"VIS-DIA-B1-01","public/images/onurim/type-2-diabetes/hero.webp","true","webp","1536","1024","1536","1024","287692","식사와 활동 수면과 혈당 측정값을 관찰 기록지에 적는 다양한 연령의 가족 삽화","관찰 기록은 약을 바꾸는 계산표가 아니라 진료에서 질문할 맥락을 남기는 도구입니다.","type-2-diabetes","ARTICLE_PATH_AND_CLAIM_MAPPED","0","16","LOW","NEXT_IMAGE_PRELOAD_HERO","CLAIM_MAPPING_PRESENT;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","DIA-B1-006|DIA-B1-011","PASS"
"VIS-DIA-B1-02","public/images/onurim/type-2-diabetes/process.webp","true","webp","1536","1024","1536","1024","61466","포도당과 인슐린 신호가 세포의 에너지 사용과 연결되는 기본 흐름을 단순화한 삽화","점은 포도당, 빛 모양은 인슐린 신호를 상징합니다. 혈관이 세포에 직접 꽂히는 실제 구조가 아니라, 세포의 포도당 이용을 설명하는 비유입니다.","type-2-diabetes","ARTICLE_PATH_AND_CLAIM_MAPPED","0","13","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","CLAIM_MAPPING_PRESENT;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","DIA-B1-001|DIA-B1-002","PASS"
"VIS-DIA-B1-03","public/images/onurim/type-2-diabetes/warning.webp","true","webp","1536","1024","1536","1024","156102","반복되는 구토와 호흡곤란 의식 변화가 있을 때 기록보다 응급 도움을 우선하는 경고 삽화","세 장면이 모두 나타날 때까지 기다리는 순서도가 아닙니다. 물도 유지하기 어려운 구토·호흡곤란·의식 변화에는 즉시 응급 도움을 받습니다.","type-2-diabetes","ARTICLE_PATH_AND_CLAIM_MAPPED","0","21","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","CLAIM_MAPPING_PRESENT;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","DIA-B1-012","PASS"
"VIS-DIA-B1-04","public/images/onurim/type-2-diabetes/checklist.webp","true","webp","1024","1536","1024","1536","252202","당사자의 선택을 존중하며 검사 결과와 진료 질문을 함께 정리하는 가족 삽화","가족의 역할은 감시보다 동의, 기록 정리와 질문 준비입니다.","type-2-diabetes","ARTICLE_PATH_AND_CLAIM_MAPPED","0","12","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","CLAIM_MAPPING_PRESENT;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","DIA-B1-010|DIA-B1-011|DIA-B1-013","PASS"
"VIS-AR-B2-01","public/images/onurim/allergic-rhinitis/hero.webp","true","webp","1536","1024","1536","1024","201876","실외와 실내에서 생긴 코와 눈의 변화를 관찰표에 적는 성인의 교육용 삽화","코·눈의 불편을 기억해 기록하는 장면입니다. 눈을 비비라는 사용법이나 원인 판정표가 아닙니다.","allergic-rhinitis","ARTICLE_PATH_AND_CLAIM_MAPPED","0","20","LOW","NEXT_IMAGE_PRELOAD_HERO","CLAIM_MAPPING_PRESENT;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","AR-B2-003|AR-B2-005","PASS"
"VIS-AR-B2-02","public/images/onurim/allergic-rhinitis/explainer.webp","true","webp","1536","1024","1536","1024","91096","실외 꽃가루와 실내 먼지처럼 보이는 입자가 단순화한 코 주변으로 향하는 교육용 삽화","입자가 코로 들어오는 관계만 단순화했습니다. 모든 먼지가 알레르겐이거나, 오른쪽 그림이 치료 뒤 좋아진 상태라는 뜻은 아닙니다.","allergic-rhinitis","ARTICLE_PATH_AND_CLAIM_MAPPED","0","19","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","CLAIM_MAPPING_PRESENT;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","AR-B2-001|AR-B2-004","PASS"
"VIS-AR-B2-03","public/images/onurim/allergic-rhinitis/checklist.webp","true","webp","1024","1536","1024","1536","340854","성인 두 명이 창문과 옷, 표면 정리와 관찰표를 함께 살피는 교육용 삽화","창문·옷·표면과 증상 기록을 함께 살피는 장면입니다. 꽃가루가 높은 날 창문을 열라는 지시나 원인을 확정하는 검사표가 아닙니다.","allergic-rhinitis","ARTICLE_PATH_AND_CLAIM_MAPPED","0","12","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","CLAIM_MAPPING_PRESENT;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","AR-B2-006|AR-B2-010|AR-B2-012","PASS"
"VIS-GERD-B2-01","public/images/onurim/gastroesophageal-reflux-disease/hero.webp","true","webp","1536","1024","1536","1024","174660","식사와 자세, 불편의 시간 흐름을 관찰 노트에 적는 성인의 교육용 삽화","식사·자세·증상 시각을 따로 기록하는 장면입니다. 식사 직후 눕기를 권하는 순서도가 아닙니다.","gastroesophageal-reflux-disease","ARTICLE_PATH_AND_CLAIM_MAPPED","0","14","LOW","NEXT_IMAGE_PRELOAD_HERO","CLAIM_MAPPING_PRESENT;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","GERD-B2-004|GERD-B2-005","PASS"
"VIS-GERD-B2-02","public/images/onurim/gastroesophageal-reflux-disease/explainer.webp","true","webp","1536","1024","1536","1024","53174","위 내용물이 식도 쪽으로 올라오는 흐름을 세 단계로 단순화한 교육용 삽화","위 내용물이 식도 쪽으로 이동하는 개념입니다. 세 장면은 필수 악화 단계가 아니며 흉부 불편의 원인을 판정하지 않습니다.","gastroesophageal-reflux-disease","ARTICLE_PATH_AND_CLAIM_MAPPED","0","17","LOW","NEXT_IMAGE_DEFAULT_LAZY_BODY","CLAIM_MAPPING_PRESENT;LICENSED_REVIEW_COMPLETED=NO","PRIVACY_SAFE","GERD-B2-001|GERD-B2-003","PASS"
